RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles
0 , 0 , fluid , 2 , 0.0 , 0.0 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 50 , 1.0 , 9 , 6 , 1 , 0.0 , 0 , 6.37315748642 , 8.0 , 8.7972972973 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 8.0 , 1955.0
1 , 0 , fluid , 2 , 0.0 , 0.0 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 40 , 0.75 , 9 , 6 , 1 , 0.0 , 0 , 8.22185430464 , 11.0 , 11.8898450947 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 10.0 , 1931.0
2 , 0 , fluid , 2 , 0.0 , 0.0 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 40 , 0.5 , 9 , 6 , 1 , 0.0 , 0 , 12.007538512 , 16.0 , 12.7119565217 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 8.0 , 1884.0
3 , 0 , fluid , 2 , 700.0 , 151.354427354 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 20 , 0.25 , 9 , 6 , 1 , 2686.0 , 0 , 21.3089396609 , 32.0 , 97.4758343287 , 0.0 , 0.0 , 1.0 , 22.5 , 0.05095 , 0.195181435272 , 0.741240370634 , 0.0986974775909 , 2551.75 , 4.38861945843 , 0.459480662906 , 0.00320209034252 , 7.5 , 1582.25
4 , 0 , fluid , 2 , 0.0 , 0.000400238948581 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 20 , 0.1 , 9 , 6 , 1 , 0.0 , 0 , 33.8181818182 , nan , 21.3548387097 , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 4.0 , 1146.0
5 , 0 , fluid , 2 , 387.25 , 42.2500809571 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 10 , 0.075 , 9 , 6 , 1 , 2936.5 , 0 , 57.1541445271 , 105.325 , 339.933514653 , 0.0 , 0.0 , 1.0 , 7.75 , 0.130375 , 0.093191559374 , 0.743317775176 , 0.00686807524052 , 2926.5 , 2.21114830285 , 0.473223223878 , 0.00432760122336 , 7.25 , 1342.75
6 , 0 , fluid , 2 , 370.25 , 32.0801314188 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 10 , 0.05 , 9 , 6 , 1 , 3136.25 , 0 , 35.7506474814 , 157.7 , 517.546521657 , 0.0 , 0.0 , 1.0 , 10.0 , 0.166975 , 0.105149268509 , 0.835371494765 , 0.140747755737 , 2993.25 , 2.34178934838 , 0.868285241431 , 0.0114884928131 , 8.5 , 460.0
7 , 0 , fluid , 2 , 0.0 , 0.0 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 10 , 0.025 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 16.0
8 , 0 , fluid , 2 , 0.0 , 0.0 , 300 , 1 , 1000 , 0.0 , 0.0 , 0.992671382505 , 20 , 5 , 0.01 , 9 , 6 , 1 , 0.0 , 0 , nan , nan , nan , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 3.0
9 , 1 , fluid , 2 , 0.0 , 0.0 , 100 , 4 , 4000 , 0.0 , 0.0 , 0.921630703286 , 20 , 50 , 1.0 , 10 , 6 , 1 , 0.0 , 0 , 6.87924801157 , 9.0 , 8.71924290221 , 17.4333333333 , 1.38455832281 , 4.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 9.0 , 717.0
