5, 2, 1, 1
10, 4, 3, 2, 1, 1
5, 4, 3, 2, 2, 1, 1, 1
6, 4, 3, 2, 2, 1, 1, 1
23, 20, 11, 8, 7, 7, 6, 4, 4, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1
21, 12, 11, 8, 2, 1, 1, 1, 1, 1, 1, 1
111, 83, 44, 31, 26, 26, 20, 20, 15, 10, 6, 3, 2, 2, 1, 1, 1, 1, 1
731, 603, 491, 303, 268, 247, 176, 139, 110, 94, 59, 59, 49, 46, 46, 43, 29, 10, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2554, 522, 91, 66, 2, 2, 1, 1, 1, 1, 1, 1
3627, 710, 215, 134, 124, 14, 5, 4, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1882, 151, 115, 88, 54, 6, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1671, 197, 193, 112, 67, 44, 43, 10, 8, 1, 1, 1, 1
1154, 328, 67, 55, 48, 26, 6, 4, 1, 1, 1, 1, 1
781, 463, 318, 114, 55, 39, 3, 2, 2, 2, 1, 1, 1
1519, 596, 118, 34, 30, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1
3,
[]
[]
[]
4, 3, 2, 2
7, 1, 1
2, 1, 1, 1
3, 2, 1, 1
5, 2, 2, 1, 1, 1
3, 2, 1, 1
2, 1
1,
[]
1, 1, 1
1, 1
1,
1,
1,
[]
1,
[]
[]
[]
3, 3, 1, 1, 1, 1
15, 8, 3, 3, 2, 2, 1, 1
12, 7, 6, 4, 2, 2, 2, 1
309, 78, 59, 42, 35, 27, 25, 24, 21, 19, 19, 18, 15, 14, 14, 14, 12, 12, 11, 10, 10, 9, 9, 8, 8, 7, 7, 6, 6, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
402, 87, 66, 43, 40, 34, 32, 27, 18, 18, 17, 12, 12, 9, 8, 6, 6, 5, 5, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
