'3.0', '11.0', '268.0', '1.0'
'1470.0', '1.0', '10.0', '6.0', '38.0', '109.0'
'13.0', '123.0', '5.0', '9.0', '3.0', '7.0', '2.0', '1.0'
'3.0', '60.0', '7.0', '84.0', '27.0', '98.0', '406.0', '342.0'
'1.0', '67.0', '576.0', '333.0', '5.0', '35.0', '39.0', '9.0', '102.0', '3.0', '28.0', '192.0', '19.0', '188.0', '123.0', '111.0', '876.0', '44.0', '201.0', '2.0', '102.0 58.798287'
'3.0', '5.0', '199.0', '6.0', '16.0', '754.0', '7.0', '57.0', '44.0', '3.0 66.469099', '269.0', '1.0'
'1919.0', '468.0', '11.0', '396.0', '6.0', '18.0', '20.0', '1.0', '242.0', '356.0', '220.0', '527.0', '3.0', '29.0', '766.0', '468.0 75.095657', '4.0', '396.0 74.925682', '13.0'
'57.0', '89.0', '624.0', '395.0', '1.0', '3.0', '5.0', '9.0', '507.0', '33.0', '36.0', '26.0', '16.0', '13.0', '108.0', '2858.0', '95.0', '66.0', '6.0', '624.0 84.475264', '53.0', '5.0 85.907017', '89.0 86.838861', '89.0 86.741007', '624.0 86.30482', '57.0 86.859381', '57.0 86.797523', '57.0 86.796786', '57.0 86.73632', '57.0 86.325133', '57.0 86.036044', '57.0 85.549988', '57.0 84.483694', '5.0 86.826548', '5.0 86.718804', '5.0 84.142513', '395.0 86.297244', '33.0 86.737869', '3.0 86.859719', '2.0', '13.0 85.531098'
'3.0', '297.0', '375.0', '1.0', '5.0', '20.0', '397.0', '36.0', '3.0 112.20032', '3.0 112.177754', '3.0 112.161372', '3.0 111.371645'
'5.0', '326.0', '3.0', '8.0', '10.0', '7.0', '1.0', '301.0', '139.0', '5.0 136.082877', '103.0', '8.0 137.152893', '5.0 137.62357', '5.0 137.587018', '5.0 137.468343', '5.0 137.467133', '5.0 137.129261', '5.0 137.029924', '5.0 136.23248', '5.0 136.091664', '326.0 137.47363', '326.0 137.006292', '3.0 137.508864'
'5.0', '6.0', '3.0', '292.0', '1.0', '8.0', '108.0', '5.0 159.668274', '5.0 159.391243', '6.0 159.666087', '5.0 159.754008', '5.0 159.720853', '5.0 159.685616', '5.0 159.684638', '5.0 159.662976 159.762413', '5.0 159.662976', '5.0 159.391243 159.769808', '5.0 158.937431', '5.0 158.703329', '5.0 158.660471'
'28.0', '3.0', '1.0', '26.0', '15.0', '283.0', '8.0', '170.0', '47.0', '28.0 173.767472', '28.0 173.704201', '28.0 172.452173', '26.0 173.771562'
'31.0', '4.0', '26.0', '16.0', '95.0', '46.0', '2.0', '37.0', '4.0 192.128553', '4.0 191.627191', '31.0 192.355305', '31.0 191.880252', '12.0'
'342.0', '33.0', '529.0', '2606.0', '1.0', '178.0', '15.0', '529.0 209.916283', '256.0', '1.0 210.368024', '8.0', '2606.0 210.37535', '10.0'
'3.0', '5.0', '20.0', '1.0', '145.0', '102.0', '3.0 228.641655', '3.0 228.620166', '3.0 228.565725', '3.0 228.305416', '3.0 228.304544', '3.0 227.881959', '3.0 227.383142', '3.0 227.307942', '145.0 228.610024'
'34.0',
[]
[]
[]
'43.0', '1.0', '580.0', '13.0'
'1.0', '33.0', '26.0'
'1.0', '78.0', '6.0', '369.0'
'68.0', '434.0', '152.0', '15.0'
