RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles
0 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 50 , 1.0 , 9 , 9 , 1 , 0.0 , 0 , nan , nan , nan , 121.172839506 , 2.76806254085 , 16.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 8.0 , 1325.0
1 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 40 , 0.75 , 9 , 9 , 1 , 83.5 , 0 , nan , nan , nan , 117.314814815 , 2.76737394426 , 16.0 , 0.5 , 1.0 , 1.0 , 0.0 , 0.0 , 167.0 , 0.0 , 0.877563807728 , 0.00863770892899 , 9.5 , 1259.5
2 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 40 , 0.5 , 9 , 9 , 1 , 606.0 , 0 , nan , nan , nan , 111.871604938 , 2.76617595641 , 16.0 , 7.0 , 0.16576 , 0.137385642809 , 0.86784149763 , 0.0327626474239 , 596.2 , 1.96913694267 , 0.975010467419 , 0.0111435185579 , 8.0 , 1202.3
3 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 20 , 0.25 , 9 , 9 , 1 , 769.4 , 0 , nan , nan , nan , 107.166666667 , 2.76559397467 , 16.0 , 6.1 , 0.22745 , 0.115884890485 , 1.08603813134 , 0.0390949801731 , 752.7 , 1.62112197684 , 0.853988621212 , 0.00553317760353 , 8.5 , 1153.0
4 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 20 , 0.1 , 9 , 9 , 1 , 2245.0 , 0 , nan , nan , nan , 87.5086419753 , 2.76425021926 , 16.0 , 7.3 , 0.15257 , 0.09355329168 , 0.932547027194 , 0.0104635115052 , 2232.5 , 2.04807484558 , 0.639400439372 , 0.00241797531825 , 8.0 , 946.6
5 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 10 , 0.075 , 9 , 9 , 1 , 1559.4 , 0 , nan , nan , nan , 90.0185185185 , 2.76306429119 , 16.0 , 5.6 , 0.20959 , 0.0862696455713 , 0.999303611786 , 0.00947129672838 , 1552.0 , 1.57804922918 , 0.55978632532 , 0.00749340202299 , 7.8 , 973.8
6 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 10 , 0.05 , 9 , 9 , 1 , 3117.1 , 0 , nan , nan , nan , 71.5358024691 , 2.76185478873 , 16.0 , 5.6 , 0.241 , 0.0687832005218 , 0.960197764642 , 0.053111705634 , 2976.8 , 1.41060484389 , 0.867430512893 , 0.00348544691165 , 6.7 , 760.7
7 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 10 , 0.025 , 9 , 9 , 1 , 3114.0 , 0 , nan , nan , nan , 36.5543209877 , 2.75138462446 , 16.0 , 4.8 , 0.2756 , 0.0637745981387 , 1.33680783181 , 0.00294148475181 , 3109.1 , 1.21263030487 , 0.879829544057 , 0.00347591882926 , 6.4 , 394.0
8 , 0 , fluid , 2 , nan , nan , 200 , 16 , 2000 , 0.0 , 0.0 , 0.990163441589 , 80 , 5 , 0.01 , 9 , 9 , 1 , 0.0 , 0 , nan , nan , nan , 0.765432098765 , 1.56071040904 , 5.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 6.0
9 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 50 , 1.0 , 6 , 7 , 1 , 0.0 , 0 , nan , nan , nan , 74.4047619048 , 2.07725732587 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 6.0 , 892.0
10 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 40 , 0.75 , 6 , 7 , 1 , 0.0 , 0 , nan , nan , nan , 72.619047619 , 2.07427380733 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 6.0 , 872.0
11 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 40 , 0.5 , 6 , 7 , 1 , 379.0 , 0 , nan , nan , nan , 66.9666666667 , 2.07520955004 , 8.0 , 5.5 , 0.2346 , 0.136264169363 , 1.19818553682 , 0.0374084102362 , 372.1 , 1.49666772821 , 0.95319968341 , 0.00987813937864 , 4.9 , 803.9
12 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 20 , 0.25 , 6 , 7 , 1 , 51.5 , 0 , nan , nan , nan , 66.130952381 , 2.07728191264 , 8.0 , 1.5 , 0.3535 , 0.151935151261 , 0.0 , 0.0569327929117 , 100.0 , 0.706860835755 , 0.605100932688 , 0.00810755980047 , 7.0 , 797.5
13 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 20 , 0.1 , 6 , 7 , 1 , 1471.7 , 0 , nan , nan , nan , 43.4142857143 , 2.07369680833 , 8.0 , 8.2 , 0.15435 , 0.111853723807 , 0.866096210134 , 0.0628702331457 , 1421.3 , 2.14898813298 , 0.966470905643 , 0.0113638346144 , 5.6 , 519.3
14 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 10 , 0.075 , 6 , 7 , 1 , 1955.5 , 0 , nan , nan , nan , 36.780952381 , 2.07069193426 , 8.0 , 6.7 , 0.15564 , 0.0928811929975 , 0.909355392375 , 0.010475998152 , 1945.2 , 1.94851469564 , 0.956155045926 , 0.00750424306733 , 5.2 , 441.5
15 , 1 , fluid , 2 , nan , nan , 200 , 8 , 500 , 0.0 , 0.0 , 0.979756977189 , 20 , 10 , 0.05 , 6 , 7 , 1 , 0.0 , 0 , nan , nan , nan , 1.59523809524 , 1.97930880721 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 23.0
