N,S,sp.turnover,flow.rate,time,memory,p.value
0,0,nan,0.0001,5.79058,133,nan
0,0,nan,0.0001,6.035566,132,nan
0,0,nan,0.01,6.117069,132,0.007766964
0,0,nan,0.0001,6.378841,133,nan
0,0,nan,0.001,6.445562,215,nan
0,0,nan,0.0005,6.450293,132,nan
0,0,nan,0.0005,6.546504,214,nan
0,0,nan,0.001,6.626128,133,0.010241155
0,0,nan,0.005,6.666469,133,3.59E-05
0,1,0,0.0075,7.116906,91,0.012196006
0,0,nan,0.01,7.591257,133,0.005283943
5,1,0.005,0.01,7.601794,133,0.002393822
0,0,nan,0.001,7.89165,133,0.014480316
3,1,0,0.0075,7.955715,212,0.0387033
0,0,nan,0.005,7.98732,93,0.008672513
0,0,0,0.01,8.437514,132,0.048518569
4,1,0.012,0.005,8.878887,216,0.000289058
1,0,0.069,0.5,9.443096,133,0.022981271
0,0,nan,0.02,9.838754,221,0.009567356
25,2,0.008,0.02,10.194438,131,0.000968308
234,3,0.006,0.01,11.156363,133,0.022901891
1,1,0.094,0.6,11.768483,133,4.89E-09
1,1,0.118,0.8,11.961228,132,3.14E-09
294,2,0,0.01,12.055336,215,0.034346749
0,0,nan,0.0075,12.822274,133,0.039596831
491,8,0.004,0.02,13.051865,212,0.023902486
0,0,nan,0.8,13.073271,133,1.26E-12
520,7,0.002,0.02,13.231238,131,0.037551255
13,4,0.149,1,13.609636,216,1.48E-11
0,0,nan,0.2,13.86255,132,0.017790464
193,2,0.002,0.02,14.826196,213,0.033762583
55,10,0.043,0.5,14.948595,132,0.022389141
525,9,0.004,0.07,16.93729,131,0.045901083
0,0,nan,0.6,19.057145,133,0.023881709
0,0,0,0.01,19.505337,133,0.022146135
0,0,nan,0.9,20.68519,136,3.25E-16
906,14,0.002,0.09,21.763761,133,0.002891912
1,0,0.089,0.9,22.745128,133,2.91E-07
0,0,nan,1,24.744708,135,0.016037275
176,1,0.013,0.8,25.816435,134,0.007919643
2,1,0.093,0.8,27.789884,211,0.034984176
4,1,0.029,0.9,28.496828,133,0.027173099
1930,16,0.003,0.08,28.913741,133,0.008808069
112,12,0.016,0.2,29.074347,222,0.042534396
141,15,0.027,0.8,35.545819,214,3.87E-06
1118,4,0.005,0.02,36.261097,90,0.005138097
1772,15,0.002,0.06,36.415125,93,0.02778655
1459,19,0.008,0.09,37.15835,214,4.44E-07
1422,11,0.001,0.09,37.4572,132,0.017171419
1483,11,0.001,0.08,39.434973,133,0.039260272
6,1,0.046,0.7,43.808388,212,0.022093703
2337,23,0.002,0.07,45.10492,133,0.016729308
2545,5,0.001,0.02,46.04615,133,0.041273416
1950,13,0.003,0.06,47.88154,212,0.037889345
2779,37,0.005,0.2,48.270423,132,0.003178472
2385,12,0.006,0.09,48.724106,133,0.036206738
2521,13,0.003,0.06,49.097568,213,0.03922345
2267,4,0,0.02,49.110597,214,0.048538044
21,3,0.026,0.7,49.818371,215,0.006102112
1878,7,0.009,0.06,49.819208,217,0.002391047
2783,16,0.001,0.04,50.632424,217,0.04967776
178,3,0.02,0.9,51.057335,132,0.005908
2883,18,0.009,0.07,51.065395,133,0.044263052
2566,7,0.007,0.06,53.457316,135,0.039051177
2962,32,0.003,0.1,54.850423,217,0.023609086
2535,7,0.001,0.02,55.573169,132,0.02035741
3009,7,0.001,0.04,55.874209,132,0.000369936
187,3,0.01,0.1,55.899357,211,0.032997198
2896,5,0.007,0.5,56.139307,132,0.001148643
3121,14,0.002,0.05,58.303927,133,0.049828794
3787,13,0.001,0.09,59.059561,133,0.037356591
3319,17,0.003,0.06,59.908628,133,0.031139764
3098,7,0.002,0.06,64.061926,133,0.029065714
4055,21,0.005,0.1,64.595316,135,0.038552506
2911,7,0,0.07,65.789822,133,0.011343914
0,0,nan,0.9,68.457688,133,0.001585914
2,1,0.024,0.6,70.174366,216,0.044391668
3073,16,0.004,0.05,72.031682,212,0.0073827
5086,28,0.003,0.1,72.257309,133,6.45E-05
4865,26,0.004,0.1,76.123714,135,0.023612848
61,3,0.021,0.4,81.619654,216,0.044098142
4481,5,0.006,0.07,86.746542,133,0.044660858
3537,19,0.006,0.1,87.693659,218,0.030069125
4851,7,0.007,0.4,87.696622,132,0.008765635
4771,26,0.002,0.1,97.067027,215,0.028131227
7,1,0.077,0.5,99.473896,133,0.018269053
6540,22,0.005,0.09,104.849918,135,0.04500506
6331,12,0.002,0.05,112.630486,212,0.02959142
542,23,0.021,0.8,116.660196,219,0.002943176
200,9,0.023,0.8,118.875755,133,0.003172511
5924,15,0.004,0.2,137.292994,134,0.013675982
9192,23,0.007,0.2,155.280922,133,0.036041285
5674,20,0.003,0.8,157.747646,221,0.02216075
8277,8,0.006,0.9,204.911293,216,0.010727938
8246,6,0.005,0.7,207.768044,232,0.018146847
13420,11,0.032,1,210.184481,137,0.007948228
13464,23,0.007,0.9,256.374089,146,0.003346888
12705,18,0.009,0.6,388.885682,142,0.019713787
51767,15,0.008,0.9,1504.210711,254,0.039558206
68808,24,0.001,0.7,2936.835905,261,0.038949269
