RowID, sim, motion, dimensions, ind.production, biomass.prod.N, biomass.prod.P, biomass.prod.C, res.inflow, N.types, P.types, C.types, max.res.val, max.growth.rate, max.met.maint, max.active.dispersal, barrier.width, barrier.height, logseries.a, starting.seed, flow.rate, width, height, viscosity, total.abundance, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, species.richness, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, tracer.particles, resource.particles, speciation, species.turnover, avg.per.capita.growth, avg.per.capita.maint, avg.per.capita.N.efficiency, avg.per.capita.P.efficiency, avg.per.capita.C.efficiency, avg.per.capita.active.dispersal, amplitude, flux, frequency, phase, disturbance
0, 2, 'fluid', 2, 3.0, 0.024561932728536351, 0.015460753241046399, 0.083602557993143201, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 1.0, 10, 9, 10, 8.5, 1, 5.3414147971254309, 6.2312499999999993, 7.8868943692710607, 12.877777777777778, 3.844645749455704, 48.0, 3.0, 0.82394999999999996, 0.76915398053035977, 0.41666666666666669, 0.59481175390266305, 4.0, -0.35355339059327356, 6.5, 1159.0, 'yes', 1.0, 0.30869752749415558, 0.00068069936987864518, 0.50825202181909812, 0.50773371729130523, 0.48558922140472205, 0.068609684361209067, 0.4, 'yes', 0.1, 2, 0.0
1, 2, 'fluid', 2, 0.5, 0.075345991985152794, 0.096125819882693142, 0.025609053311782981, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.90000000000000002, 10, 9, 10, 6.5, 1, 5.7405221674648814, 5.9479166666666661, 7.2559090500584169, 13.288888888888888, 3.8420111821508698, 48.0, 3.5, 0.80449999999999999, 0.84292536271257912, 0.16666666666666666, 0.61734693877551017, 3.0, -0.223796878596352, 6.5, 1196.0, 'yes', 0.71428571428571419, 0.35971190434645017, 0.00073133267100729737, 0.51620899212742, 0.49305643679968725, 0.47554863773415096, 0.054186166903129947, 0.4, 'yes', 0.1, 2, 0.0
2, 2, 'fluid', 2, 0.5, 0.011670490152546453, 0.0097613945366089028, 0.025351344375104612, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.80000000000000004, 10, 9, 10, 2.5, 1, 6.3552317910665366, 6.5118243243243246, 7.7843835616438355, 14.5, 3.8479317514955147, 48.0, 2.0, 0.94999999999999996, 0.96194905467268654, 0.5, 0.47222222222222221, 1.5, 0.0, 5.0, 1305.0, 'yes', 1.0, 0.32036295416639254, 0.00070167940975307411, 0.50375627924480415, 0.49605283530004124, 0.46808159113768183, 0.057422860149542114, 0.4, 'yes', 0.1, 2, 0.0
3, 2, 'fluid', 2, 8.5, 0.41517601397534587, 0.68837046966176196, 0.40800186543314976, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.69999999999999996, 10, 9, 10, 85.0, 1, 6.795177968654694, 8.3249999999999993, 11.902076115621284, 13.327777777777778, 3.8519006999088079, 48.0, 25.5, 0.55420000000000003, 0.66614373134211147, 0.6333333333333333, 0.86599144409758355, 12.0, 1.6356504881935054, 6.5, 1199.5, 'yes', 0.72549019607843146, 0.32464526770478991, 0.00077743710676502452, 0.50017060162655613, 0.49416444708051022, 0.47500747346256239, 0.060957896009334864, 0.4, 'yes', 0.1, 2, 0.0
4, 2, 'fluid', 2, 8.0, 0.39261372037212494, 0.46857873665802796, 0.71746127170896901, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.59999999999999998, 10, 9, 10, 67.5, 1, 7.724066292259808, 6.75, 13.947484953378863, 13.983333333333334, 3.8446676575525194, 48.0, 18.0, 0.68225000000000002, 0.71083935921716401, 0.41666666666666669, 0.89579224194608809, 9.5, 0.91289998810792228, 4.0, 1258.5, 'yes', 0.61111111111111116, 0.32673107226859777, 0.00076048310632605631, 0.50455506564715813, 0.50100235480216848, 0.47889432337452009, 0.062113262672012212, 0.4, 'yes', 0.1, 2, 0.0
5, 2, 'fluid', 2, 2.0, 0.15138792874479412, 0.043028574964404154, 0.16995683841021947, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.5, 10, 9, 10, 22.5, 1, 9.2698555910722078, 6.9500000000000002, 15.674007933144612, 12.533333333333333, 3.8475505416286095, 48.0, 7.5, 0.6573, 0.69301691667008747, 0.29999999999999999, 0.77777777777777779, 7.5, 0.88062810963519733, 4.5, 1128.0, 'yes', 0.60000000000000009, 0.33734072627993195, 0.00072608184678396549, 0.50756802451298999, 0.50270101838065806, 0.47833848973470516, 0.063053152679538607, 0.4, 'yes', 0.1, 2, 0.0
6, 2, 'fluid', 2, 177.0, 13.617790519266208, 12.232390446233758, 14.867145002054677, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.40000000000000002, 10, 9, 10, 1445.0, 1, 8.0814767797372618, 6.875, 12.909915101327163, 10.188888888888888, 3.840789441363647, 48.0, 113.5, 0.30635000000000001, 0.42657230024233839, 0.052490421455938699, 0.97003580577761495, 126.0, 3.5378476423675647, 6.5, 917.0, 'yes', 0.23348017621145378, 0.33699284349600156, 0.00073253944910332477, 0.50896630730220438, 0.50114750901642047, 0.48228002675775883, 0.062834969290052473, 0.4, 'yes', 0.1, 2, 0.0
7, 2, 'fluid', 2, 33.0, 2.474410674137177, 2.877738271384362, 2.0425784179655651, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.20000000000000001, 10, 9, 10, 301.0, 1, 13.823920963260264, nan, 46.511864314137043, 8.9000000000000004, 3.8315336222978917, 48.0, 13.5, 0.29169999999999996, 0.26848893113802957, 0.56578947368421051, 0.74231474043295376, 116.5, 1.8012706224976012, 5.5, 801.0, 'yes', 0.2592592592592593, 0.35946658190586039, 0.00078709993929814792, 0.51566780612440022, 0.50699274276920647, 0.48815579866953335, 0.061740853490377473, 0.4, 'yes', 0.1, 2, 0.0
8, 2, 'fluid', 2, 236.5, 12.165202420682945, 18.16142602730892, 7.7421957001155306, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.10000000000000001, 10, 9, 10, 2937.5, 1, 7.4074427047878384, nan, 47.343918612353541, 1.3055555555555556, 3.6567627938449103, 44.5, 40.0, 0.27549999999999997, 0.1350780521408575, 0.097995160732803316, 0.90886474396105765, 615.5, 2.7496744796707251, 3.0, 117.5, 'yes', 0.19999999999999996, 0.3647463362037503, 0.00077859953623565098, 0.51380572842116012, 0.50430304287676597, 0.49014667122734906, 0.06105879140281683, 0.4, 'yes', 0.1, 2, 0.0
9, 2, 'fluid', 2, 182.0, 8.9309328103519192, 8.6295754823340332, 8.1353997870581196, 450, 16, 18, 14, 5000, 0.6, 0.0004, 0.1, 0.0, 0.0, 0.9902090300543734, 1000, 0.089999999999999997, 10, 9, 10, 2072.5, 1, 6.5976732764442261, 36.0, 64.198523189585032, 1.7666666666666666, 3.7046457334865268, 46.5, 32.0, 0.31, 0.15056818981063153, 0.091988130563798218, 0.89886787564673298, 411.5, 1.9720043341839668, 3.5, 159.0, 'yes', 0.28125, 0.36904755615428847, 0.0007819124132002512, 0.51318986799105537, 0.50483556416568809, 0.48987359040251854, 0.060773569094748701, 0.4, 'yes', 0.1, 2, 0.0
