RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles, speciation
79,9, random_walk ,2,0,0.002128775,200,10,200,0.1,0.1,0.952431093,500,4,0.25,9,10,10,2.5,0,5.120214923,18.91666667,49.73439597,4.988888889,2.242681826,10,1.5,1,1,1,0.25,1.5,0,0.083123149,0.001653084,13,96, yes
80,9, random_walk ,2,66,5.348060292,200,10,200,0.1,0.1,0.952431093,500,4,0.1,9,10,10,565.5,0,21.86641788,0,99.79301129,7.416666667,2.264253847,10,14,0.32025,0.236941512,0.351415094,0.754216602,235.5,2.084426303,0.098479765,0.002070434,15,159.5, yes
81,9, random_walk ,2,0,0.000200964,200,10,200,0.1,0.1,0.952431093,500,1,0.075,9,10,10,0,0,0,0,0,10.34444444,2.276976731,10,0, nan , nan , nan , nan , nan , nan , nan , nan ,3,199.5, yes
82,9, random_walk ,2,15,1.503787506,200,10,200,0.1,0.1,0.952431093,500,1,0.05,9,10,10,133.5,0,49.66513369,0,105.6072832,21.73333333,2.297511324,10,5,0.6618,0.530942542,0.213286713,0.688372854,62,0.807406214,0.107315887,0.003339773,5,437, yes
83,9, random_walk ,2,21,1.246380307,200,10,200,0.1,0.1,0.952431093,500,1,0.025,9,10,10,281,0,36.8829331,0,116.1150907,16.08333333,2.289074292,10,3.5,0.60945,0.162839958,0.416289593,0.52364252,148.5,-0.304801788,0.098840182,0.002940077,6,323, yes
84,9, random_walk ,2,1,0.206414016,200,10,200,0.1,0.1,0.952431093,500,1,0.01,9,10,10,13.5,0,67.33333333,0,91.18438985,8.127777778,2.270840761,10,1,1,1,0.85,0,13.5,0,0.080055835,0.003811647,0,160, yes
85,10, fluid ,2,0,0,200,10,100,0.1,0.1,0.993964392,500,50,1,5,5,10,0,0,2.793021963,1.807692308,0,49.78,2.292915156,10,0, nan , nan , nan , nan , nan , nan , nan , nan ,2,278.5, yes
86,10, fluid ,2,0,0,200,10,100,0.1,0.1,0.993964392,500,50,0.75,5,5,10,0,0,3.372382538,3.615384615,0,45.44,2.292119915,10,0, nan , nan , nan , nan , nan , nan , nan , nan ,2,263, yes
87,10, fluid ,2,0,0,200,10,100,0.1,0.1,0.993964392,500,10,0.5,5,5,10,0,0,5.161877618,0,0,42.82,2.283603242,10,0, nan , nan , nan , nan , nan , nan , nan , nan ,3,237, yes
88,10, fluid ,2,0,0.008654446,200,10,100,0.1,0.1,0.993964392,500,4,0.25,5,5,10,7,0,8.576046012,9.25,16.26428571,38.3,2.282710813,10,1.5,0.7597,0.578254188,0,0.56122449,7,-0.630903857,0.095195983,0.001125083,1.5,210.5, yes
89,10, fluid ,2,52.5,10.18922526,200,10,100,0.1,0.1,0.993964392,500,4,0.1,5,5,10,215.5,0,18.19076943,23.625,43.98619292,30.4,2.272955917,10,12.5,0.26545,0.291166492,0.058900524,0.410973158,125,2.185007303,0.82575609,0.04011741,2,166.5, yes
90,10, fluid ,2,203,17.15110605,200,10,100,0.1,0.1,0.993964392,500,1,0.075,5,5,10,1579,0,14.13989012,40,74.06849609,13.06,2.185584639,10,28,0.05845,0.211290212,0.368051118,0.384707779,1193.5,4.543609425,0.644982743,0.00961265,3,62.5, yes
91,10, fluid ,2,19.5,2.761619374,200,10,100,0.1,0.1,0.993964392,500,1,0.05,5,5,10,171,0,26.22187982,17,40.30594595,35.54,2.279892784,10,7,0.20305,0.244857823,0.173469388,0.236269843,148.5,1.970804363,0.184094442,0.005450479,3,197, yes
92,10, fluid ,2,0,0.000496252,200,10,100,0.1,0.1,0.993964392,500,1,0.025,5,5,10,0,0,25.22727273,0,0,22.94,2.284914779,10,0, nan , nan , nan , nan , nan , nan , nan , nan ,2,129.5, yes
93,10, fluid ,2,0,3.36E-05,200,10,100,0.1,0.1,0.993964392,500,1,0.01,5,5,10,0,0,0,0,0,6.02,2.129690009,9,0, nan , nan , nan , nan , nan , nan , nan , nan ,0,37.5, yes
94,11, fluid ,2,0,0,150,8,100,0.1,0.1,0.925108875,1000,50,1,7,9,10,0,0,3.740478922,0,0,15.53968254,2.067444842,8,0, nan , nan , nan , nan , nan , nan , nan , nan ,3.5,292, yes
95,11, fluid ,2,0,0.001130794,150,8,100,0.1,0.1,0.925108875,1000,50,0.75,7,9,10,0,0,5.106876553,0,0,17.84920635,2.070240654,8,0, nan , nan , nan , nan , nan , nan , nan , nan ,7,316.5, yes
96,11, fluid ,2,1,0.007466968,150,8,100,0.1,0.1,0.925108875,1000,10,0.5,7,9,10,9,0,7.359167765,7.45,15.7111244,16.69047619,2.066326745,8,3.5,0.5143,0.6050629,0,0.722222222,7,0.986397091,0.045552452,0.001777822,3.5,306, yes
97,11, fluid ,2,3.5,0.129743994,150,8,100,0.1,0.1,0.925108875,1000,4,0.25,7,9,10,53.5,0,12.6618941,9.75,21.50965813,15.92857143,2.062788612,8,12.5,0.6262,0.612939743,0.375,0.762681987,10.5,0.847111091,0.078758076,0.002908385,3,282.5, yes
98,11, fluid ,2,18,1.720209204,150,8,100,0.1,0.1,0.925108875,1000,4,0.1,7,9,10,206.5,0,28.86988304,21,53.87891478,14.65873016,2.067254335,8,7.5,0.4754,0.231825451,1.147727273,0.448012368,71.5,0.538910004,0.092586705,0.003595457,3,263, yes
99,11, fluid ,2,2,0.08505657,150,8,100,0.1,0.1,0.925108875,1000,1,0.075,7,9,10,22,0,26.62355072,26.5,34.0090834,10.76190476,2.048996915,8,4,0.48105,0.493949294,0.25,0.441597222,16,1.043673815,0.063749081,0.001607534,4.5,198, yes
100,11, fluid ,2,1.5,0.023658379,150,8,100,0.1,0.1,0.925108875,1000,1,0.05,7,9,10,9,0,40.96488828,53.5,54.35512465,13.23015873,2.052536645,8,4,0.77895,0.809715325,0.833333333,0.595555556,3.5,0.298684721,0.034824669,0.005589199,5.5,229.5, yes
101,11, fluid ,2,0,9.26E-05,150,8,100,0.1,0.1,0.925108875,1000,1,0.025,7,9,10,0,0,38.5,0,0,6.214285714,2.050317025,8,0, nan , nan , nan , nan , nan , nan , nan , nan ,3,117.5, yes
102,11, fluid ,2,0,0,150,8,100,0.1,0.1,0.925108875,1000,1,0.01,7,9,10,0,0,0,0,0,2.007936508,1.99221304,8,0, nan , nan , nan , nan , nan , nan , nan , nan ,0,31.5, yes
103,12, fluid ,2,0,0,250,2,150,0.1,0.1,0.953340711,500,50,1,8,10,10,0,0,4.852464271,4.613636364,0,4.2,0.692622066,2,0, nan , nan , nan , nan , nan , nan , nan , nan ,5.5,694.5, yes
104,12, fluid ,2,0,0,250,2,150,0.1,0.1,0.953340711,500,50,0.75,8,10,10,0,0,6.696343405,0,0,4.1,0.692846817,2,0, nan , nan , nan , nan , nan , nan , nan , nan ,4.5,672, yes
105,12, fluid ,2,2,0.078352219,250,2,150,0.1,0.1,0.953340711,500,10,0.5,8,10,10,24.5,0,9.584157151,9.811111111,21.09676103,4.0875,0.692052141,2,3.5,0.4654,0.417616318,0,0.693044565,21,0.962131158,0.065872926,0.002211269,4,674.5, yes
106,12, fluid ,2,129,10.94366983,250,2,150,0.1,0.1,0.953340711,500,4,0.25,8,10,10,1242,0,20.7325091,25.125,47.93649284,4.88125,0.693128305,2,27,0.0854,0.184474372,0.103809013,0.546343529,841,4.652213844,0.138920026,0.004733005,7.5,779, yes
