RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles, speciation, species.turnover, growth.max, maint.max
2 , 0 , fluid , 2 , 1.5 , 0.0229636992592 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 80 , 0.8 , 9 , 10 , 10 , 4.0 , 1 , 8.42180081875 , 8.4500333667 , 6.58868583641 , 21.4555555556 , 1.78808760071 , 6.0 , 2.0 , 0.93075 , 0.948873722054 , 0.2 , 0.462222222222 , 2.5 , 0.0 , 0.0762932108521 , 0.0221417058797 , 9.0 , 764.5 , no , 0.5 , 0.2 , 0.05
3 , 0 , fluid , 2 , 12.0 , 0.928607523826 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 10 , 0.7 , 9 , 10 , 10 , 63.5 , 1 , 7.5322191005 , 9.47272727273 , 16.7998969356 , 15.9666666667 , 1.78610989894 , 6.0 , 3.5 , 0.3966 , 0.238311001865 , 0.172222222222 , 0.156349232115 , 60.0 , 0.747312021736 , 0.190849420065 , 0.00335685278404 , 6.0 , 587.5 , no , 0.55 , 0.2 , 0.05
4 , 0 , fluid , 2 , 1.5 , 0.0441081136096 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 10 , 0.6 , 9 , 10 , 10 , 10.5 , 1 , 8.74491347842 , 9.35 , 12.1757227447 , 16.4555555556 , 1.78867483684 , 6.0 , 3.5 , 0.73275 , 0.80576525589 , 1.66666666667 , 0.320987654321 , 6.5 , 0.797783803849 , 0.10702178584 , 0.0239908464014 , 7.5 , 593.5 , no , 0.566666666667 , 0.2 , 0.05
5 , 0 , fluid , 2 , 3.5 , 0.490366908896 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 10 , 0.5 , 9 , 10 , 10 , 34.0 , 1 , 10.8387784421 , 11.55 , 14.1365305572 , 15.3777777778 , 1.78360825303 , 6.0 , 3.0 , 0.4972 , 0.342080763987 , 0.132653061224 , 0.288225935408 , 29.5 , 0.54385202909 , 0.178358310672 , 0.00462601051923 , 5.0 , 595.0 , no , 0.591666666667 , 0.2 , 0.05
6 , 0 , fluid , 2 , 20.5 , 3.2504549856 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 4 , 0.4 , 9 , 10 , 10 , 168.5 , 1 , 9.82220079476 , 12.05 , 14.218949249 , 14.7166666667 , 1.79021995552 , 6.0 , 25.5 , 0.3247 , 0.454619159452 , 0.106707317073 , 0.849317889936 , 50.0 , 2.96865721205 , 0.14851793128 , 0.00887717895293 , 5.5 , 528.0 , no , 0.533333333333 , 0.2 , 0.05
7 , 0 , fluid , 2 , 49.0 , 5.90345639052 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 4 , 0.3 , 9 , 10 , 10 , 261.5 , 1 , 16.1412209807 , 17.375 , 25.9759437066 , 18.1611111111 , 1.78967203635 , 6.0 , 8.0 , 0.2167 , 0.247134328784 , 0.128238341969 , 0.420578280885 , 199.0 , 2.18056169845 , 0.179221756049 , 0.00361118879498 , 4.0 , 651.0 , no , 0.559829059829 , 0.2 , 0.05
8 , 0 , fluid , 2 , 876.5 , 41.9968408239 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 4 , 0.2 , 9 , 10 , 10 , 10308.5 , 1 , 18.0021419221 , 26.8 , 59.7015364461 , 10.7611111111 , 1.78970773302 , 6.0 , 8.5 , 0.1435 , 0.121018784707 , 0.253215434084 , 0.177307261842 , 9388.0 , 2.34105199282 , 0.157529613012 , 0.00257823428844 , 5.5 , 381.5 , no , 0.622710622711 , 0.2 , 0.05
9 , 0 , fluid , 2 , 188.0 , 15.2206856611 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 4 , 0.1 , 9 , 10 , 10 , 1889.5 , 1 , 34.9617446718 , 53.9166666667 , 96.8746234173 , 11.3833333333 , 1.78671516602 , 6.0 , 3.0 , 0.39435 , 0.23953989254 , 0.486523652365 , 0.153804527933 , 1732.5 , 0.703277158808 , 0.194288564817 , 0.00665263828211 , 6.0 , 413.5 , no , 0.669871794872 , 0.2 , 0.05
11 , 0 , fluid , 2 , 0.5 , 0.00916659203342 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 1 , 0.08 , 9 , 10 , 10 , 4.5 , 1 , 21.8240740741 , 28.0 , 15.7034883721 , 9.12222222222 , 1.78976822544 , 6.0 , 1.5 , 0.86765 , 0.857432791665 , 0.5 , 0.16 , 4.0 , 0.0 , 0.0353723293749 , 0.0068684687617 , 7.0 , 328.0 , no , 0.632478632479 , 0.2 , 0.05
12 , 0 , fluid , 2 , 107.5 , 9.49564764472 , 200 , 6 , 400 , 0.1 , 0.1 , 0.933198105468 , 1000 , 1 , 0.07 , 9 , 10 , 10 , 1345.0 , 1 , 16.8092407975 , 48.0 , 36.4699975205 , 7.06111111111 , 1.78119176481 , 6.0 , 2.5 , 0.5513 , 0.416495876539 , 0.0263993648273 , 0.180330648127 , 1316.5 , 0.353510107183 , 0.177356348223 , 0.00321524479504 , 6.0 , 255.0 , no , 0.669230769231 , 0.2 , 0.05
