1612, 33

344, 97, 89, 59, 8, 6, 1
423, 101, 39, 5


3, 1, 1
268, 104, 104, 60, 38, 19, 18, 5, 4, 4, 2, 2, 1
410, 67, 32, 17, 15, 6, 4, 1, 1


496, 284, 144, 105, 86, 53, 25, 10, 9, 4
6, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1



2068, 272, 101, 93, 82, 65, 49, 45, 24, 18, 15, 10, 9, 6, 6, 4, 3, 1
343, 132, 126, 53, 51, 43, 35, 11, 9, 6


138, 88, 64, 54, 49, 25, 13, 13
24, 6, 6, 5, 4, 3, 3, 2, 2, 2, 1, 1, 1, 1

22, 10, 5, 5, 3, 2, 2, 1


26, 18, 1
22, 18, 5, 3, 3, 2, 2, 1, 1, 1, 1
29, 19, 1
490, 39, 27
46, 30
457, 297, 255, 210, 150, 133, 102, 64, 60, 48, 39, 35, 26, 23, 22, 13, 10, 7, 7, 6, 3, 2, 1, 1
20, 20, 8
520, 186, 172, 66, 25, 19, 11, 10, 10, 9, 7, 7, 3
118, 80, 60, 18, 8
6, 4, 3
251, 215, 40, 40, 39, 22, 11, 10, 3, 2, 1


96, 38, 28, 13, 10


159, 83, 25, 10, 4, 3
3
96, 77, 75, 36, 6, 5
4, 1



331, 145, 121, 94, 78, 45, 26, 8
30, 28, 15, 14, 9, 7, 6, 5, 5, 4, 4, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
317, 188, 123, 79, 53, 40, 23, 3, 1, 1
377, 367, 345, 143, 69, 36, 10, 1
137, 130, 27, 5
314, 77, 68, 60, 36, 29, 17, 16, 16, 12, 12, 11, 10, 10, 9, 8, 7, 7, 5, 4, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1
64, 33, 31, 30, 11


57, 24, 12, 11, 7, 6, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1
63, 51, 39, 36, 33, 18, 13, 10, 10, 2
17, 11, 10, 9, 8, 8, 7, 5, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1

166, 117, 65, 64, 62, 55, 54, 46, 42, 34, 30, 25, 20, 15, 14, 13, 12, 12, 12, 12, 10, 10, 9, 9, 9, 8, 8, 8, 8, 8, 8, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
5, 4, 4, 4, 2, 2, 2, 2, 1, 1
253, 234, 212, 202, 136, 135, 111, 63, 55, 42, 42, 18, 15, 6, 4, 4, 4, 3, 2, 2, 1, 1, 1, 1, 1
5123, 139, 33, 19, 17, 17, 14, 8, 7, 6, 5, 4, 4, 4, 4, 4, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1
1072, 710, 198, 192, 181, 156, 35, 32, 32, 23, 4, 2, 1, 1
1674, 1151, 555, 140, 64, 40, 40, 23, 17, 10, 8, 5, 4, 4, 3, 2, 1
1880, 462, 453, 83, 82, 73, 69, 64, 60, 38, 37, 30, 28, 19, 18, 16, 14, 13, 12, 11, 10, 9, 9, 8, 6, 6, 5, 4, 4, 4, 3, 3, 2

8, 5, 4, 3, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1
85, 47, 34, 24, 18, 17, 12, 11, 10, 10, 8, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
25, 21, 12, 11, 10, 6, 5, 5, 5, 5, 4, 3, 2, 2, 2, 2, 2, 1, 1, 1
324, 270, 167, 130, 27, 11, 6, 2, 1, 1
18, 9, 4
83, 37, 32, 6, 6, 4, 3, 2, 1
1

34, 30, 18, 18, 16, 11, 10, 6, 6, 6, 5, 5, 4, 3, 3, 1, 1
151, 69, 36
111, 56, 23, 10, 8
236, 118, 60, 38, 34, 33, 25, 22, 15, 15, 13, 10, 10, 8, 8, 8, 7, 7, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
676, 303, 269, 178, 127, 86, 86, 55, 53, 48, 35, 33, 30, 29, 24, 21, 19, 14, 14, 11, 10, 10, 10, 9, 9, 9, 8, 7, 6, 6, 5, 5, 5, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1
889, 478, 352, 221, 139, 127, 122, 106, 104, 45, 39, 36, 27
1202, 57, 18, 10, 7, 4, 3, 3, 3, 2, 2, 2, 1, 1

