RowID, sim, FlowRate, Width, Height, Viscosity, N, immigration.rate, particle.tau, cell.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint
1,0,1,10,10,0.84,75,6,4.3,11.07407407,658.6640411,1.0985954,3,33,0.386518244,0.696555882,0.213333333,0.934054054,16,3.52028477,0.699989097,7.405720411
2,0,0.75,10,10,0.84,99,6,8.4,12.44186047,713.4832744,1.095738564,3,33,0.198928332,0.638998591,0.363636364,0.856318285,36,4.981582896,1.018435839,10.48892343
3,0,0.5,10,10,0.84,153,6,8.181818182,15.42696629,536.6912893,1.096772941,3,38,0.121624149,0.558095897,0.437908497,0.78878569,67,5.237774908,1.525425048,13.70371476
4,0,0.25,10,10,0.84,28,6,23.6,23.45945946,556.4296129,1.094589687,3,18,0.640522876,0.829936691,0.178571429,0.947089947,5,1.971933991,0.495692649,4.125864541
5,0,0.1,10,10,0.84,64,6,49.6,32.81395349,163.949579,1.094123016,3,27,0.397130114,0.642569569,0.203125,0.921130952,13,2.317533939,0.730711727,5.10682243
6,0,0.075,10,10,0.84,48,6,61.9,75.86666667,252.5585522,1.097454031,3,11,0.412312097,0.485732338,0.3125,0.796099291,15,1.40921943,1.708877208,12.76184348
7,0,0.05,10,10,0.84,60,6,110.2,72.48979592,209.8617036,1.089246969,3,15,0.506329114,0.596063877,0.233333333,0.883050847,14,1.512617132,1.255226338,10.41886477
8,0,0.025,10,10,0.84,48,6,141.7,20.4516129,253.1703038,1.093709387,3,12,0.738461538,0.670054147,0.166666667,0.906028369,8,0.185331188,1.36039085,7.4169164
9,0,0.01,10,10,0.84,8,6,649.5,114.4306569,309.4520653,1.088625382,3,3,0.820512821,0.781797573,0.5,0.678571429,4,-0.381801774,0.972969594,2.402248534
10,1,1,10,10,0.84,36,3,5.9,9.947368421,1109.949658,1.098305719,3,19,0.516746411,0.790834624,0.25,0.923809524,9,3.081457853,0.45401591,5.05241394
11,1,0.75,10,10,0.84,35,3,5.3,10.35294118,1158.227816,1.098423537,3,15,0.555555556,0.690573686,0.228571429,0.905882353,8,1.577633967,0.59968295,6.644337383
12,1,0.5,10,10,0.84,26,3,8.8,15.86666667,1121.477842,1.097192434,3,15,0.500740741,0.770521292,0.269230769,0.901538462,7,2.266080078,0.465106219,4.652482382
13,1,0.25,10,10,0.84,36,3,17.1,17.48,1028.906954,1.094599503,3,16,0.675,0.743248108,0.138888889,0.933333333,5,0.86222852,0.700238137,6.771614967
14,1,0.1,10,10,0.84,45,3,56.6,49.61797753,375.3558478,1.088347457,3,10,0.534300792,0.508646257,0.311111111,0.831313131,14,1.047861669,1.276328546,9.614920262
