RowID, sim, motion, dimensions, ind.production, biomass.prod.N, biomass.prod.P, biomass.prod.C, res.inflow, N.types, P.types, C.types, max.res.val, max.growth.rate, max.met.maint, max.active.dispersal, barrier.width, barrier.height, logseries.a, starting.seed, flow.rate, width, height, viscosity, total.abundance, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, species.richness, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, tracer.particles, resource.particles, speciation, species.turnover, avg.per.capita.growth, avg.per.capita.maint, avg.per.capita.N.efficiency, avg.per.capita.P.efficiency, avg.per.capita.C.efficiency, avg.per.capita.active.dispersal
0, 1, 'fluid', 2, 0.0, 0.020209025714757967, 0.017131959316873224, 0.039948704626308118, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 1.0, 8, 10, 10, 6.5, 1, 4.2728275614271247, 3.9654471544715451, 5.5249547452805796, 10.68125, 2.555638123014583, 16.0, 3.0, 0.90739999999999998, 0.93228632046912319, 0.125, 0.63250000000000006, 3.0, -5.5511151231257827e-17, 3.0, 854.5, 'yes', 1.0, 0.14622140275054013, 0.00070439155105498133, 0.53218983704221179, 0.51573439656273479, 0.51603459105373584, 0.054946691884576786
1, 1, 'fluid', 2, 0.0, 0.0042960364186346855, 0.0317153138735079, 0.0026258953198257107, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.90000000000000002, 8, 10, 10, 4.5, 1, 4.7062060602409161, 4.2750000000000004, 6.0635234330886512, 10.831250000000001, 2.5260903121327978, 16.0, 2.0, 0.88075000000000003, 0.89364400941487043, 0.29999999999999999, 0.42749999999999999, 3.0, 0.0, 3.5, 866.5, 'yes', 1.0, 0.13735674166135134, 0.0005888669676787317, 0.53989061872746957, 0.53095882940153671, 0.56714186815726086, 0.048830543701962437
2, 1, 'fluid', 2, 0.0, 0.010626103782875873, 0.027425020740513811, 0.013557306452205375, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.80000000000000004, 8, 10, 10, 5.5, 1, 5.2256116752260677, 5.1062500000000002, 6.0357988165680467, 10.143750000000001, 2.5108040534901761, 16.0, 3.0, 0.90834999999999999, 0.93070553907689457, 0.14285714285714285, 0.59693877551020402, 2.5, 0.24669110010907933, 2.5, 811.5, 'yes', 0.66666666666666674, 0.14351160391873816, 0.00057879812926438885, 0.53811206001772527, 0.50802848098914699, 0.56244352978522194, 0.054504473685097504
3, 1, 'fluid', 2, 0.5, 0.027825167852503774, 0.029272994734932778, 0.014992322796352486, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.69999999999999996, 8, 10, 10, 14.0, 1, 5.6466256074733243, 5.6500000000000004, 9.3543504234459007, 10.487500000000001, 2.5266875358277971, 16.0, 8.0, 0.81509999999999994, 0.83164424685704974, 0.1875, 0.74937500000000001, 3.5, 0.29957283321510197, 4.0, 839.0, 'yes', 0.75, 0.14572464878850896, 0.0005766366705056284, 0.54079143533804352, 0.52730836668740366, 0.5313295571642731, 0.059631030690925443
4, 1, 'fluid', 2, 1.5, 0.021785963866766844, 0.004824460230728439, 0.024022806244689221, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.59999999999999998, 8, 10, 10, 9.5, 1, 6.5568984112749789, 6.7999999999999998, 7.7181647940074907, 10.4625, 2.5249663331851941, 16.0, 4.0, 0.81154999999999999, 0.86980493701245631, 0.13636363636363635, 0.6725206611570248, 4.5, 0.68587748960909378, 5.0, 837.0, 'yes', 0.5, 0.14195902328957077, 0.00057581062081653713, 0.55112069428565758, 0.51455186920235763, 0.51091144897369944, 0.058188611879157491
5, 1, 'fluid', 2, 1.0, 0.044463132603971389, 0.039161381075902169, 0.018495458922968139, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.5, 8, 10, 10, 15.0, 1, 7.4900151672825608, 8.4333333333333336, 12.839633601429849, 10.15625, 2.5320451054906927, 16.0, 5.5, 0.73204999999999998, 0.72457582651760677, 0.4375, 0.69976756198347112, 5.5, 0.24125072952334392, 4.5, 812.5, 'yes', 0.45454545454545459, 0.14544610599588789, 0.00058648886012664778, 0.54931974381722515, 0.51740315843093909, 0.50126452948322986, 0.061869166265663432
6, 1, 'fluid', 2, 5.5, 0.18461571426668333, 0.31763244801431179, 0.098601249099618204, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.40000000000000002, 8, 10, 10, 82.0, 1, 8.8275778415918662, 10.75, 16.115370186862968, 9.9312499999999986, 2.5496390585700071, 16.0, 20.5, 0.50644999999999996, 0.66236249996002439, 0.97222222222222221, 0.86127212156173183, 20.0, 2.1030825074842938, 4.5, 794.5, 'yes', 0.70731707317073167, 0.14453914532371792, 0.00058101367722250357, 0.54596368527711481, 0.52742767076254782, 0.50475116432951317, 0.06339229687516644
7, 1, 'fluid', 2, 1.5, 0.039325306026973261, 0.0063881186480879704, 0.015383807439679653, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.20000000000000001, 8, 10, 10, 14.0, 1, 17.885043213535607, 21.25, 32.504742033383913, 9.6812499999999986, 2.5702970396596441, 16.0, 5.5, 0.80159999999999998, 0.8402444715996813, 0.14285714285714285, 0.71938775510204089, 5.5, 0.55178553987784629, 3.5, 774.5, 'yes', 0.45454545454545459, 0.1468917279706683, 0.00058191723107977765, 0.54907590834574327, 0.50530172415408225, 0.49419937448587786, 0.061302101637207257
8, 1, 'fluid', 2, 31.5, 1.2558537595759685, 2.832837804035389, 1.4320505412917512, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.10000000000000001, 8, 10, 10, 379.0, 1, 22.652402402402402, 30.0, 41.660711589482538, 7.75, 2.5220484968095618, 16.0, 26.5, 0.38349999999999995, 0.37186321146822438, 0.11187845303867404, 0.90023796024169012, 77.5, 2.0104706971638366, 4.0, 620.0, 'yes', 0.13207547169811318, 0.14715278784720076, 0.00059659659123416744, 0.54632184333823886, 0.50899284544452761, 0.49821049817198015, 0.061848448229118058
9, 1, 'fluid', 2, 46.0, 2.4936394571592739, 2.1828913492905038, 2.1654714689826289, 400, 10, 2, 4, 10000, 0.2, 0.0001, 0.1, 0.0, 0.0, 0.9928194442511393, 1000, 0.089999999999999997, 8, 10, 10, 434.5, 1, 20.515350877192979, nan, 30.527307361435419, 5.6687499999999993, 2.5518253532289115, 16.0, 30.5, 0.41065000000000002, 0.38841489298620502, 0.062084257206208429, 0.91959466120722388, 62.5, 1.5656097236845639, 1.0, 453.5, 'yes', 0.14754098360655732, 0.14728109452474, 0.00059840409965969356, 0.54154072761208905, 0.51061210758962516, 0.50231114225075335, 0.063389330992460219
