4, 2, 2
3, 2
3, 2, 1, 1
4, 3, 1
6, 3, 2
4, 3, 1
5, 4, 2, 2, 2, 1, 1, 1
7, 5, 2
74, 53, 40, 39, 28, 19, 18, 14, 11, 10, 9, 8, 7, 7, 6, 5, 4, 2, 2, 2, 2, 1, 1
69, 65, 53, 40, 36, 33, 23, 23, 17, 14, 10, 7, 7, 6, 6, 5, 5, 5, 5, 4, 4, 3, 3, 2, 2, 2, 1, 1
106, 94, 86, 65, 40, 36, 26, 11, 7, 6, 5, 5, 5, 4, 1, 1, 1
96, 38, 15, 14, 14, 12, 3, 2, 2, 2, 1, 1, 1, 1
170, 72, 54, 28, 19, 12, 4, 3, 1, 1
34, 30, 20, 8, 7, 7, 5, 3, 2, 1, 1
1331, 144, 23, 3, 2, 1, 1, 1, 1, 1
3, 2
3,
1,
[]
3, 1
2, 1
4, 2, 1
1, 1
4, 1, 1, 1
1,
6, 5, 3, 3, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1
5, 5, 1
45, 24, 19, 12, 11, 5, 5, 5, 4, 1, 1
5, 2
41, 34, 31, 26, 24, 19, 17, 17, 17, 15, 14, 11, 11, 9, 8, 6, 6, 6, 5, 3, 2, 2, 1, 1, 1, 1
30, 25, 20, 17, 15, 6, 5, 4, 4, 3, 1, 1, 1
42, 30, 29, 12, 10, 8, 8, 4, 4, 2, 1, 1
615, 201, 92, 26, 19, 13, 9, 4, 2, 1, 1, 1
112, 95, 84, 78, 66, 25, 23, 23, 22, 15, 2, 1, 1, 1, 1, 1, 1
34, 15, 10, 7, 5, 1
6,
[]
[]
3, 1, 1, 1
1, 1
3, 1
2, 1
2, 2
1, 1, 1, 1
5, 2
5, 4, 3, 3, 2, 1
1, 1, 1
4, 3, 3, 2
25, 11, 8, 5, 2, 1, 1
15, 12, 8, 2, 2
16, 9, 6, 2, 1
10, 8, 2, 2, 1, 1, 1
23, 7, 2
74, 43, 31, 29, 18, 7, 7, 3
6, 5, 4
2,
[]
2, 1
3, 3, 2, 1
3, 1
4, 3, 2, 1, 1
6, 3, 1, 1
2,
8, 4, 4, 3, 2, 2, 1, 1, 1, 1
94, 25, 20, 11, 6, 5, 3, 3, 3, 2, 1, 1, 1, 1
2, 1
40, 36, 22, 19, 18, 4, 3, 2, 1, 1, 1
