'1.0', '4.0', '230.0'
[]
'61.0', '112.0', '46.0', '6.0', '16.0', '1.0', '30.0', '7.0', '70.0', '652.0', '41.0', '8.0'
[]
'67.0', '6.0', '20.0', '1.0', '4.0', '2.0', '9.0', '31.0', '14.0', '5.0', '28.0', '7.0', '3.0'
'2.0', '33.0', '718.0', '65.0'
'499.0', '11.0', '3.0', '23.0', '32.0', '693.0', '2.0', '38.0', '168.0', '81.0', '268.0', '8.0', '47.0', '89.0', '10.0', '5.0', '50.0', '212.0', '1.0', '475.0', '22.0'
'3.0', '28.0', '18.0', '9.0', '40.0', '14.0', '52.0', '17.0', '162.0'
'145.0', '2.0', '8.0', '30.0', '32.0', '15.0', '1.0'
[]
'8.0', '12.0', '2.0', '92.0', '42.0', '24.0', '128.0', '20.0', '1.0', '158.0', '66.0', '5.0', '46.0', '31.0', '222.0', '155.0', '114.0', '368.0'
'2.0', '23.0', '1060.0', '33.0', '418.0'
'103.0', '9.0', '61.0', '235.0', '297.0'
'17.0', '13.0', '66.0', '276.0', '1.0', '79.0', '7.0', '31.0', '5.0'
'1.0', '15.0', '32.0', '164.0', '41.0', '43.0', '401.0', '26.0', '190.0', '10.0', '61.0'
[]
[]
'12.0', '158.0', '1.0', '3.0', '2.0', '450.0', '34.0'
'3.0', '8.0', '5.0', '2.0', '1.0', '355.0', '20.0'
'1.0',
'13.0', '375.0', '14.0', '7.0', '44.0', '9.0', '61.0', '451.0', '87.0', '10.0', '18.0', '75.0', '3.0', '25.0', '40.0'
[]
[]
'173.0', '111.0', '3.0', '2.0', '7.0', '33.0', '1.0', '6.0', '30.0', '141.0', '92.0', '37.0'
[]
'1.0', '35.0', '80.0'
'1.0', '44.0', '4.0', '3.0', '8.0', '7.0'
[]
[]
[]
'1.0', '13.0', '49.0'
'1.0', '40.0', '455.0'
'7.0', '1.0', '55.0', '11.0', '3.0', '301.0', '65.0', '12.0', '8.0', '388.0'
'3.0', '1.0', '130.0', '17.0', '4.0', '551.0', '129.0'
[]
'17.0', '101.0', '32.0', '16.0', '103.0', '2.0', '695.0', '7.0', '4.0', '93.0', '8.0', '1.0', '13.0', '9.0', '836.0', '14.0', '5.0', '23.0', '19.0', '11.0'
'9.0', '72.0', '178.0', '4.0', '126.0', '2.0', '3.0', '119.0', '24.0', '68.0', '11.0', '21.0'
[]
'15.0', '2.0', '18.0', '39.0', '74.0', '17.0', '206.0', '162.0', '6.0'
[]
[]
'18.0', '91.0', '92.0', '10.0', '14.0', '5.0', '21.0', '28.0', '1.0', '6.0', '3.0', '19.0'
[]
'112.0', '17.0', '1.0', '7.0', '266.0', '20.0', '3.0', '111.0', '9.0', '15.0', '29.0', '12.0', '6.0', '25.0', '2.0'
[]
'1.0', '318.0', '44.0', '13.0', '124.0', '8.0', '24.0'
'1.0', '7.0', '5.0', '23.0'
'52.0', '468.0', '67.0'
[]
'4.0', '10.0', '1.0', '9.0', '2.0', '23.0', '85.0', '3.0', '18.0', '151.0', '237.0', '171.0', '160.0', '8.0', '156.0', '7.0', '21.0', '184.0'
[]
[]
'2.0', '68.0', '49.0', '10.0', '3.0', '299.0', '234.0', '30.0', '58.0', '154.0', '205.0', '26.0', '1.0'
[]
'7.0', '2.0', '32.0', '28.0', '106.0', '153.0', '6.0', '3.0', '21.0', '1.0', '51.0', '64.0', '14.0', '4.0', '11.0', '36.0', '9.0', '8.0', '19.0', '16.0'
'12.0', '1.0'
'314.0', '5.0', '75.0', '1.0', '72.0', '81.0', '414.0', '6.0', '14.0', '38.0', '2.0', '18.0'
'7.0', '5.0', '2.0', '51.0', '4.0', '1.0', '24.0', '42.0', '72.0', '27.0', '25.0', '21.0', '103.0'
'2.0',
[]
'1.0', '18.0', '3.0', '30.0', '17.0', '304.0'
[]
[]
'4.0', '40.0', '13.0', '17.0', '52.0', '50.0', '84.0', '217.0', '3.0'
'13.0', '20.0'
[]
'2.0', '12.0', '8.0', '281.0', '120.0', '36.0', '21.0', '23.0', '91.0', '32.0', '299.0', '71.0', '30.0', '49.0', '35.0', '521.0', '380.0', '89.0', '432.0', '325.0', '600.0'
[]
'452.0', '100.0', '4.0', '8.0', '49.0', '3.0', '270.0', '229.0', '114.0', '293.0', '57.0', '972.0', '274.0', '5.0', '454.0', '20.0', '10.0', '1.0', '21.0', '86.0', '192.0', '2.0'
'44.0', '20.0'
[]
'4.0', '2.0', '250.0', '361.0', '11.0', '63.0', '268.0', '1.0', '84.0', '8.0', '374.0', '83.0', '721.0', '937.0', '178.0', '167.0', '9.0', '289.0', '3.0', '23.0', '22.0', '16.0'
'7.0', '3.0', '12.0', '83.0', '13.0', '5.0', '72.0', '116.0', '36.0', '87.0', '1.0', '2.0', '112.0', '6.0', '148.0'
'53.0', '118.0', '19.0', '57.0'
'5.0', '25.0', '70.0', '60.0', '113.0', '10.0', '44.0', '77.0', '48.0', '98.0', '1.0'
'115.0', '325.0', '36.0', '25.0', '15.0', '14.0'
[]
'1.0', '204.0'
[]
'4.0', '58.0', '11.0', '48.0', '1.0', '45.0', '46.0', '8.0'
'2.0', '1.0', '7.0', '51.0', '19.0', '24.0', '22.0', '10.0', '9.0', '36.0', '72.0', '76.0', '5.0', '71.0', '48.0'
'12.0', '11.0'
'2.0', '1.0', '55.0', '4.0', '37.0', '38.0', '3.0', '21.0', '6.0', '5.0', '126.0', '8.0', '43.0'
'1.0', '64.0'
'3.0', '1.0', '275.0', '13.0'
'20.0', '17.0', '10.0', '30.0', '32.0', '98.0', '6.0', '34.0', '14.0', '21.0', '1.0', '3.0', '4.0', '18.0', '12.0', '2.0'
'31.0', '174.0', '1.0', '16.0', '72.0', '27.0', '11.0', '51.0', '5.0', '4.0', '53.0', '35.0'
'6.0', '4.0', '137.0', '3.0', '7.0'
[]
'54.0', '16.0', '3.0', '5.0', '7.0', '8.0', '36.0', '2.0', '23.0', '1.0', '73.0'
'12.0', '11.0', '4.0', '1.0', '61.0', '7.0', '13.0', '131.0', '5.0', '27.0'
[]
'1.0', '3.0', '7.0', '96.0', '22.0', '31.0', '5.0', '2.0', '249.0', '15.0', '18.0', '89.0', '12.0', '53.0'
'32.0', '2.0', '1.0', '8.0', '4.0'
[]
'13.0', '142.0', '5.0', '26.0', '7.0', '33.0', '40.0', '65.0', '1.0', '3.0', '49.0', '8.0', '189.0', '2.0', '130.0', '21.0', '6.0', '111.0', '34.0', '387.0', '24.0', '84.0'
'3.0', '225.0', '46.0', '2.0', '35.0', '31.0', '15.0'
'1.0', '15.0', '179.0', '170.0', '9.0', '20.0', '6.0', '443.0', '10.0'
'20.0',
'1.0',
[]
[]
[]
