RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles, speciation
0 , 0 , fluid , 2 , 0.0 , 0.0 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 50 , 1.0 , 10 , 6 , 10 , 0.0 , 0 , 6.5922609859 , 6.67857142857 , nan , 31.875 , 2.07056166488 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 8.5 , 553.5 , yes
1 , 0 , fluid , 2 , 0.0 , 0.0 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 50 , 0.75 , 10 , 6 , 10 , 0.0 , 0 , 8.00748203134 , 7.75 , nan , 29.1 , 2.07038518474 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 3.0 , 514.0 , yes
2 , 0 , fluid , 2 , 2.0 , 0.138717809836 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 10 , 0.5 , 10 , 6 , 10 , 69.0 , 0 , 11.0023336814 , 9.4 , 23.9041914225 , 28.175 , 2.07301064167 , 8.0 , 14.0 , 0.37885 , 0.454291508892 , 0.62962962963 , 0.704435165897 , 25.5 , 2.13705858447 , 0.0661186840006 , 0.00215264027902 , 8.5 , 489.0 , yes
3 , 0 , fluid , 2 , 98.5 , 13.7449437592 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 4 , 0.25 , 10 , 6 , 10 , 856.5 , 0 , 19.1583301339 , 18.15 , 33.7347223124 , 29.2166666667 , 2.0671559174 , 8.0 , 42.0 , 0.2349 , 0.262733032115 , 0.0694444444444 , 0.891396461371 , 218.0 , 3.33083873747 , 0.232347498336 , 0.00672499890585 , 5.5 , 509.5 , yes
4 , 0 , fluid , 2 , 90.0 , 5.45674595897 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 4 , 0.1 , 10 , 6 , 10 , 993.5 , 0 , 32.2980880486 , 33.25 , 91.9843872219 , 17.1583333333 , 2.06970474765 , 8.0 , 19.0 , 0.1263 , 0.192848635433 , 0.237835153923 , 0.485391683775 , 676.5 , 3.69907193492 , 0.180967656462 , 0.00563514257293 , 7.0 , 299.5 , yes
5 , 0 , fluid , 2 , 96.5 , 5.53815655532 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 1 , 0.075 , 10 , 6 , 10 , 1206.5 , 0 , 41.2300362976 , nan , 90.6042388332 , 15.6916666667 , 2.06006140217 , 8.0 , 16.5 , 0.21575 , 0.138523567513 , 0.233741753063 , 0.717296553201 , 456.0 , 2.19211849768 , 0.12331974505 , 0.00435839854173 , 13.0 , 262.0 , yes
6 , 0 , fluid , 2 , 95.5 , 8.43509518469 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 1 , 0.05 , 10 , 6 , 10 , 925.0 , 0 , 39.4437908766 , 63.5 , 87.4146565544 , 10.8166666667 , 2.06305156664 , 8.0 , 23.0 , 0.2406 , 0.154211371921 , 0.10942408377 , 0.815710629815 , 261.5 , 1.88347892833 , 0.281146669784 , 0.00780069104136 , 3.5 , 194.0 , yes
7 , 0 , fluid , 2 , 0.0 , 0.000175054399478 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 1 , 0.025 , 10 , 6 , 10 , 0.0 , 0 , nan , nan , nan , 5.01666666667 , 2.0423965955 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 98.0 , yes
8 , 0 , fluid , 2 , 0.0 , 1.02188196754e-05 , 150 , 8 , 200 , 0.1 , 0.1 , 0.990291065793 , 1000 , 1 , 0.01 , 10 , 6 , 10 , 0.0 , 0 , nan , nan , nan , 2.4 , 1.98421666202 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 43.5 , yes
9 , 1 , fluid , 2 , 0.0 , 0.0 , 150 , 2 , 300 , 0.1 , 0.1 , 0.996033378738 , 100 , 50 , 1.0 , 6 , 7 , 10 , 0.0 , 0 , 3.26660926139 , 3.79166666667 , nan , 3.05952380952 , 0.689697520685 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 3.5 , 238.5 , yes
10 , 1 , fluid , 2 , 0.0 , 0.0 , 150 , 2 , 300 , 0.1 , 0.1 , 0.996033378738 , 100 , 50 , 0.75 , 6 , 7 , 10 , 0.0 , 0 , 3.96142141946 , 4.21428571429 , nan , 2.89285714286 , 0.692860357071 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 2.0 , 239.5 , yes
11 , 1 , fluid , 2 , 0.0 , 0.167300240607 , 150 , 2 , 300 , 0.1 , 0.1 , 0.996033378738 , 100 , 10 , 0.5 , 6 , 7 , 10 , 1.5 , 0 , 5.97780585263 , 7.35 , 10.7632352941 , 2.63095238095 , 0.689869817616 , 2.0 , 0.5 , 1.0 , 1.0 , 0.0 , 0.0 , 3.0 , 0.0 , 0.835421099324 , 0.0173531549515 , 2.0 , 205.0 , yes
12 , 1 , fluid , 2 , 1.0 , 0.0244835119427 , 150 , 2 , 300 , 0.1 , 0.1 , 0.996033378738 , 100 , 4 , 0.25 , 6 , 7 , 10 , 9.0 , 0 , 10.1755174292 , 10.25 , 18.6823593074 , 2.27380952381 , 0.683354111519 , 2.0 , 2.0 , 0.7941 , 0.83027506805 , 0.0 , 0.685185185185 , 8.0 , 0.498783749111 , 0.0624635845696 , 0.00264537854578 , 3.5 , 220.5 , yes
