RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles
0 , 0 , fluid , 2 , 65.0 , 12.5917498304 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 50 , 1.0 , 7 , 7 , 1 , 255.0 , 4 , 5.06286286286 , 5.23529411765 , 8.95758564437 , 0.0 , 0.0 , 1.0 , 35.0 , 0.2382 , 0.457991025399 , 0.0 , 0.880061514802 , 56.0 , 2.83847020309 , 0.35514529637 , 0.00656529914099 , 4.0 , 505.0
1 , 0 , fluid , 2 , 35.0 , 7.99484682948 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 40 , 0.75 , 7 , 7 , 1 , 224.0 , 4 , 6.4255184088 , 6.975 , 13.6992960107 , 0.0 , 0.0 , 1.0 , 30.0 , 0.2969 , 0.421268361503 , 0.0 , 0.887715242347 , 52.0 , 2.71838483538 , 0.256612487901 , 0.0059542516663 , 7.0 , 488.0
2 , 0 , fluid , 2 , 196.0 , 35.1710286974 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 40 , 0.5 , 7 , 7 , 1 , 810.0 , 4 , 8.36525216619 , 9.875 , 19.4900850906 , 0.0 , 0.0 , 1.0 , 27.0 , 0.2189 , 0.241082680793 , 0.0 , 0.830797134583 , 216.0 , 2.59513650781 , 0.406541889864 , 0.00412549181475 , 5.0 , 398.0
3 , 0 , fluid , 2 , 350.0 , 42.6153162024 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 20 , 0.25 , 7 , 7 , 1 , 2611.0 , 4 , 10.2420548542 , 18.2 , 34.7546816479 , 0.0 , 0.0 , 1.0 , 36.0 , 0.135 , 0.152859007278 , 0.0 , 0.794233981354 , 800.0 , 3.00325979216 , 0.441690684899 , 0.00296930065748 , 7.0 , 260.0
4 , 0 , fluid , 2 , 514.0 , 39.9045487159 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 20 , 0.1 , 7 , 7 , 1 , 6476.0 , 4 , 16.5931134821 , 45.4 , 83.4789573274 , 0.0 , 0.0 , 1.0 , 23.0 , 0.1007 , 0.103494199171 , 0.0 , 0.56829154142 , 3840.0 , 3.46768657323 , 0.379838116614 , 0.00340707446185 , 3.0 , 100.0
5 , 0 , fluid , 2 , 355.0 , 26.2597664472 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 10 , 0.075 , 7 , 7 , 1 , 3556.0 , 4 , 17.5581071677 , 62.0 , 89.8100957674 , 0.0 , 0.0 , 1.0 , 16.0 , 0.3658 , 0.109463185205 , 0.0 , 0.829144265431 , 986.0 , 1.13750882625 , 0.43860015471 , 0.00396009356974 , 5.0 , 55.0
6 , 0 , fluid , 2 , 215.0 , 14.6796478932 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 10 , 0.05 , 7 , 7 , 1 , 2103.0 , 4 , 28.3619810634 , 102.1 , 150.759418085 , 0.0 , 0.0 , 1.0 , 14.0 , 0.1653 , 0.122252284813 , 0.0 , 0.567859831154 , 1258.0 , 2.55358017381 , 0.363229287282 , 0.00461864829472 , 5.0 , 113.0
7 , 0 , fluid , 2 , 219.0 , 10.8980768629 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 10 , 0.025 , 7 , 7 , 1 , 2254.0 , 4 , 33.8306832832 , 180.4 , 349.029491015 , 0.0 , 0.0 , 1.0 , 6.0 , 0.2441 , 0.102039038761 , 0.0 , 0.317096924801 , 1844.0 , 1.73521100031 , 0.381813455693 , 0.00471182945316 , 5.0 , 21.0
8 , 0 , fluid , 2 , 0.0 , 0.0 , 100 , 1 , 1000 , 0.0 , 0.0 , 0.993982060648 , 80 , 5 , 0.01 , 7 , 7 , 1 , 0.0 , 4 , nan , nan , nan , 0.0 , 0.0 , 1.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 3.0
9 , 1 , fluid , 2 , 0.0 , 0.000867310864028 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 50 , 1.0 , 5 , 8 , 1 , 0.0 , 0 , 3.73058653449 , 3.86956521739 , 5.58374628345 , 132.4 , 2.07792808679 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 4.0 , 1516.0
10 , 1 , fluid , 2 , 0.0 , 0.0 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 40 , 0.75 , 5 , 8 , 1 , 0.0 , 0 , 4.76540976764 , 4.9 , 7.05046728972 , 131.65 , 2.07502575222 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 3.0 , 1464.0
11 , 1 , fluid , 2 , 0.0 , 0.0 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 40 , 0.5 , 5 , 8 , 1 , 0.0 , 0 , 6.93215299365 , 7.1 , 11.7954198473 , 122.025 , 2.07894011406 , 8.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 4.0 , 1403.0
12 , 1 , fluid , 2 , 653.0 , 126.779416367 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 20 , 0.25 , 5 , 8 , 1 , 2977.0 , 0 , 10.9971235618 , 13.85 , 40.1079766767 , 94.375 , 2.07584971908 , 8.0 , 23.0 , 0.0772 , 0.130496482808 , 0.0 , 0.436615552965 , 2154.0 , 4.03582141818 , 0.47484394844 , 0.00217239611455 , 4.0 , 1089.0
13 , 1 , fluid , 2 , 880.0 , 102.912868678 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 20 , 0.1 , 5 , 8 , 1 , 7081.0 , 0 , 18.0237076344 , 33.9 , 136.020628335 , 64.35 , 2.0615085327 , 8.0 , 18.0 , 0.0561 , 0.151608731292 , 0.0 , 0.00985808674937 , 7046.0 , 3.88055841692 , 0.487846316569 , 0.00147893888114 , 4.0 , 763.0
14 , 1 , fluid , 2 , 676.0 , 69.330432507 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 10 , 0.075 , 5 , 8 , 1 , 6351.0 , 0 , 13.3544003451 , 43.3 , 95.3977906372 , 60.425 , 2.07579254001 , 8.0 , 12.0 , 0.1124 , 0.0786014487841 , 0.0 , 0.258552027545 , 5385.0 , 2.86454044969 , 0.474559915677 , 0.00146698925989 , 5.0 , 715.0
15 , 1 , fluid , 2 , 1454.0 , 65.8636063072 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 10 , 0.05 , 5 , 8 , 1 , 22259.0 , 0 , 14.9819614348 , 64.5 , 175.605599606 , 39.25 , 2.05458733768 , 8.0 , 18.0 , 0.0557 , 0.120524080471 , 0.0 , 0.00170639959347 , 22240.0 , 3.88056997584 , 0.447007743676 , 0.00152258271471 , 4.0 , 408.0
16 , 1 , fluid , 2 , 1324.0 , 43.7336494202 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 10 , 0.025 , 5 , 8 , 1 , 21854.0 , 0 , 35.0955345061 , 126.8 , 239.420042916 , 28.775 , 2.05404449011 , 8.0 , 10.0 , 0.1001 , 0.0705623231625 , 0.0 , 0.000823459401518 , 21845.0 , 2.66666666667 , 0.486964705753 , 0.00137603117064 , 3.0 , 344.0
17 , 1 , fluid , 2 , 0.0 , 0.0 , 400 , 8 , 2000 , 0.0 , 0.0 , 0.924024067614 , 160 , 5 , 0.01 , 5 , 8 , 1 , 0.0 , 0 , nan , nan , nan , 0.575 , 1.03972077084 , 3.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 4.0
18 , 2 , fluid , 2 , 38.0 , 7.01494615455 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 50 , 1.0 , 9 , 10 , 1 , 133.0 , 1 , 6.49241773963 , 6.66 , 9.30030959752 , 21.8333333333 , 1.38605606466 , 4.0 , 11.0 , 0.5656 , 0.376505156687 , 0.0 , 0.839278647747 , 31.0 , 0.702985927462 , 0.457377496339 , 0.00614437801091 , 8.0 , 1315.0
19 , 2 , fluid , 2 , 40.0 , 7.38189880021 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 40 , 0.75 , 9 , 10 , 1 , 158.0 , 1 , 8.48917197452 , 8.75 , 13.6812059012 , 21.0111111111 , 1.38387337762 , 4.0 , 10.0 , 0.2042 , 0.340693255286 , 0.0 , 0.510174651498 , 108.0 , 2.5290577478 , 0.41651874615 , 0.00382233556175 , 7.0 , 1287.0
20 , 2 , fluid , 2 , 56.0 , 7.82856137195 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 40 , 0.5 , 9 , 10 , 1 , 259.0 , 1 , 12.3004276115 , 12.3902439024 , 26.4706362153 , 20.7333333333 , 1.3861208559 , 4.0 , 12.0 , 0.1888 , 0.239992868914 , 0.0 , 0.558697693833 , 163.0 , 2.60086767308 , 0.250255067025 , 0.00300755557872 , 8.0 , 1236.0
21 , 2 , fluid , 2 , 317.0 , 66.0135860912 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 20 , 0.25 , 9 , 10 , 1 , 1673.0 , 1 , 18.5277419355 , 23.3 , 49.1216414265 , 17.5111111111 , 1.38499538 , 4.0 , 19.0 , 0.0999 , 0.154728375529 , 0.0 , 0.472965194901 , 1181.0 , 3.71288973555 , 0.394674951122 , 0.0049363445848 , 7.0 , 1076.0
22 , 2 , fluid , 2 , 605.0 , 44.7373578443 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 20 , 0.1 , 9 , 10 , 1 , 6033.0 , 1 , 36.7477491225 , 58.45 , 93.0370783702 , 13.9222222222 , 1.38179843265 , 4.0 , 14.0 , 0.0861 , 0.0963590390904 , 0.0 , 0.170832947657 , 5480.0 , 3.30260873902 , 0.251394629584 , 0.0015539250831 , 7.0 , 837.0
23 , 2 , fluid , 2 , 669.0 , 51.7818843453 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 10 , 0.075 , 9 , 10 , 1 , 8211.0 , 1 , 53.9528301887 , 77.7 , 122.591558082 , 14.8444444444 , 1.3859857378 , 4.0 , 10.0 , 0.1209 , 0.0689953871748 , 0.0 , 0.172679591129 , 7429.0 , 2.61662657203 , 0.235137494263 , 0.00204265812075 , 6.0 , 892.0
24 , 2 , fluid , 2 , 476.0 , 32.6267270889 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 10 , 0.05 , 9 , 10 , 1 , 6442.0 , 1 , 43.5229750779 , 124.0 , 172.943550189 , 11.5111111111 , 1.38039416733 , 4.0 , 13.0 , 0.1661 , 0.0727614309669 , 0.0 , 0.537020181803 , 3532.0 , 2.01324808923 , 0.341222136403 , 0.00265583239197 , 2.0 , 703.0
25 , 2 , fluid , 2 , 0.0 , 0.00201501715132 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 10 , 0.025 , 9 , 10 , 1 , 0.0 , 1 , nan , nan , 19.0 , 1.78888888889 , 1.36720527507 , 4.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 1.0 , 108.0
26 , 2 , fluid , 2 , 0.0 , 0.0 , 200 , 4 , 500 , 0.0 , 0.0 , 0.983958737653 , 20 , 5 , 0.01 , 9 , 10 , 1 , 0.0 , 1 , nan , nan , nan , 0.0777777777778 , 0.636514168295 , 2.0 , 0.0 , nan , nan , nan , nan , nan , nan , nan , nan , 0.0 , 3.0
27 , 3 , fluid , 2 , 133.0 , 26.9204004087 , 100 , 1 , 4000 , 0.0 , 0.0 , 0.986917441124 , 160 , 50 , 1.0 , 8 , 6 , 1 , 425.0 , 4 , 5.67426900585 , 5.92 , 10.2626823286 , 0.0 , 0.0 , 1.0 , 33.0 , 0.1242 , 0.345987339908 , 0.0 , 0.756107958478 , 197.0 , 4.75992446037 , 0.417445848007 , 0.00546782124781 , 6.0 , 570.0
28 , 3 , fluid , 2 , 79.0 , 15.9387672641 , 100 , 1 , 4000 , 0.0 , 0.0 , 0.986917441124 , 160 , 40 , 0.75 , 8 , 6 , 1 , 394.0 , 4 , 7.00874210782 , 7.45 , 12.7812997904 , 0.0 , 0.0 , 1.0 , 31.0 , 0.3736 , 0.299489717455 , 0.0 , 0.913666932928 , 63.0 , 1.77093143096 , 0.344648198014 , 0.00615589339682 , 7.0 , 540.0
29 , 3 , fluid , 2 , 314.0 , 64.991984112 , 100 , 1 , 4000 , 0.0 , 0.0 , 0.986917441124 , 160 , 40 , 0.5 , 8 , 6 , 1 , 1372.0 , 4 , 8.47338792221 , 11.175 , 19.2001788232 , 0.0 , 0.0 , 1.0 , 41.0 , 0.1402 , 0.221757945487 , 0.0 , 0.826028058037 , 509.0 , 4.69257156116 , 0.3797787636 , 0.00636420936193 , 7.0 , 438.0
30 , 3 , fluid , 2 , 445.0 , 58.8544234942 , 100 , 1 , 4000 , 0.0 , 0.0 , 0.986917441124 , 160 , 20 , 0.25 , 8 , 6 , 1 , 2378.0 , 4 , 11.3277661795 , 21.35 , 41.7985434265 , 0.0 , 0.0 , 1.0 , 40.0 , 0.0813 , 0.17186553973 , 0.0 , 0.692314112898 , 1252.0 , 5.35813280596 , 0.412609258862 , 0.0063123685411 , 2.0 , 320.0
