RowID, sim, motion, D, ind.prod, biomass.prod, res.inflow, res.types, max.res.val, barrier.width, barrier.height, logseries.a, starting.seed, lower.limit, FlowRate, Width, Height, Viscosity, N, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, S, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, avg.per.capita.growth, avg.per.capita.maint, tracer.particles, resource.particles, speciation, species.turnover, growth.max, maint.max
0 , 26 , fluid , 2 , 1.0 , 0.362242334984 , 150 , 1 , 200 , 0.0 , 0.0 , 0.99713491629 , 1000 , 80 , 1.0 , 10 , 10 , 10 , 10.0 , 1 , 5.23570028551 , 5.65740740741 , 8.13349585365 , 0.0 , 0.0 , 1.0 , 5.0 , 0.75335 , 0.802448417225 , 0.277777777778 , 0.729823487399 , 4.0 , 0.593685798372 , 0.344925442288 , 0.00868965934249 , 5.0 , 779.0 , yes , 0.6 , 0.4 , 0.02
0 , 1 , fluid , 2 , 0.5 , 0.0238484957922 , 100 , 4 , 600 , 0.0 , 0.0 , 0.996418790891 , 1000 , 80 , 1.0 , 10 , 10 , 10 , 5.5 , 1 , 5.27302544632 , 5.50625 , 6.44754545455 , 8.125 , 1.38089163509 , 4.0 , 2.0 , 0.92855 , 0.935407287304 , 0.3 , 0.305555555556 , 4.0 , 0.0 , 0.0793087428591 , 0.00420972374341 , 6.5 , 537.5 , yes , 1.0 , 0.1 , 0.01
0 , 1 , fluid , 2 , 0.0 , 0.033113935179 , 50 , 1 , 400 , 0.0 , 0.0 , 0.992052411858 , 1000 , 80 , 1.0 , 10 , 10 , 10 , 6.5 , 1 , 5.34629379234 , 5.38839285714 , 5.20231273025 , 0.0 , 0.0 , 1.0 , 3.5 , 0.75245 , 0.7956957479 , 0.416666666667 , 0.585600907029 , 3.5 , 0.353553390593 , 0.0430930363445 , 0.00799066706011 , 5.5 , 273.0 , yes , 0.142857142857 , 0.1 , 0.02
0 , 1 , fluid , 2 , 1.0 , 0.00668755435365 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 80 , 1.0 , 10 , 10 , 10 , 6.0 , 1 , 5.17938357346 , 4.55975609756 , 7.76202812731 , 11.33 , 2.27584072844 , 10.0 , 3.0 , 0.85185 , 0.867474455896 , 0.4 , 0.605714285714 , 3.0 , -0.162652503513 , 0.039123332283 , 0.00480925100891 , 4.5 , 254.5 , no , 0.333333333333 , 0.1 , 0.01
1 , 1 , fluid , 2 , 0.5 , 0.00950412998586 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 80 , 0.9 , 10 , 10 , 10 , 5.0 , 1 , 5.73015447085 , 5.84375 , 6.80372390892 , 11.875 , 2.28521407489 , 10.0 , 3.0 , 0.85835 , 0.89265459375 , 0.5 , 0.569160997732 , 2.5 , 0.246691100109 , 0.0514602422541 , 0.00727957144705 , 4.5 , 269.5 , no , 1.0 , 0.1 , 0.01
2 , 1 , fluid , 2 , 0.5 , 0.0163676285433 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 80 , 0.8 , 10 , 10 , 10 , 5.5 , 1 , 6.45874941923 , 6.99683544304 , 7.40061576355 , 12.02 , 2.28838030828 , 10.0 , 2.5 , 0.8298 , 0.823308295883 , 0.214285714286 , 0.49362244898 , 3.0 , -0.353553390593 , 0.0548181795758 , 0.0071192410059 , 5.0 , 269.0 , no , 1.0 , 0.1 , 0.01
3 , 1 , fluid , 2 , 0.5 , 0.0101674064078 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 10 , 0.7 , 10 , 10 , 10 , 7.5 , 1 , 7.0081154101 , 7.525 , 10.8863348798 , 11.78 , 2.29083065292 , 10.0 , 5.0 , 0.8598 , 0.91083089104 , 0.3 , 0.73 , 2.5 , 0.325310154116 , 0.0611300890639 , 0.00580263266361 , 5.5 , 266.5 , no , 0.6 , 0.1 , 0.01
4 , 1 , fluid , 2 , 1.0 , 0.0144354667847 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 10 , 0.6 , 10 , 10 , 10 , 9.5 , 1 , 7.96624802244 , 7.16666666667 , 9.68795289855 , 12.075 , 2.28370493125 , 10.0 , 4.5 , 0.70295 , 0.795647604595 , 0.227272727273 , 0.661415289256 , 4.5 , 1.01111407781 , 0.0459431061889 , 0.00477263034697 , 5.0 , 254.0 , no , 0.555555555556 , 0.1 , 0.01
5 , 1 , fluid , 2 , 0.0 , 0.0356524162913 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 10 , 0.5 , 10 , 10 , 10 , 6.5 , 1 , 9.69187190733 , 9.5 , 11.201603694 , 11.255 , 2.2899807311 , 10.0 , 2.5 , 0.82925 , 0.84136082296 , 0.75 , 0.496913580247 , 4.0 , 0.29758503207 , 0.0593633959035 , 0.00537926058693 , 7.0 , 244.5 , no , 0.6 , 0.1 , 0.01
6 , 1 , fluid , 2 , 4.0 , 0.259784780554 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 4 , 0.4 , 10 , 10 , 10 , 117.0 , 1 , 10.2312614753 , 12.5833333333 , 17.1343846519 , 12.135 , 2.29073654905 , 10.0 , 22.0 , 0.49985 , 0.581578210656 , 0.372093023256 , 0.894360873213 , 21.5 , 1.83584913666 , 0.0632336558365 , 0.0040237311456 , 3.0 , 263.5 , no , 0.454545454545 , 0.1 , 0.01
7 , 1 , fluid , 2 , 9.5 , 0.671948075834 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 4 , 0.2 , 10 , 10 , 10 , 80.0 , 1 , 17.7976637463 , nan , 23.6346704051 , 9.915 , 2.28198891879 , 10.0 , 12.0 , 0.35315 , 0.44104747952 , 0.142857142857 , 0.742579349376 , 29.5 , 1.74572936899 , 0.0830101210862 , 0.00331100686316 , 5.5 , 212.0 , no , 0.166666666667 , 0.1 , 0.01
8 , 1 , fluid , 2 , 1.0 , 0.0134080131124 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 4 , 0.1 , 10 , 10 , 10 , 15.0 , 1 , 46.8378694158 , 42.25 , 23.8979238754 , 10.955 , 2.29138543728 , 10.0 , 4.0 , 0.66965 , 0.673233155249 , 0.285714285714 , 0.625239158163 , 8.0 , 0.732582119565 , 0.0529057166048 , 0.00392882558064 , 4.0 , 249.0 , no , 0.25 , 0.1 , 0.01
9 , 1 , fluid , 2 , 43.0 , 2.83869805407 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 2 , 0.09 , 10 , 10 , 10 , 486.0 , 1 , 42.3236985907 , nan , 67.1666814873 , 9.455 , 2.28836574633 , 10.0 , 2.5 , 0.7037 , 0.506137871062 , 0.368635437882 , 0.413271076602 , 344.0 , 0.0267599820369 , 0.0870063044792 , 0.00264084774047 , 6.5 , 216.5 , no , 0.2 , 0.1 , 0.01
10 , 1 , fluid , 2 , 20.0 , 0.61562024986 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 2 , 0.08 , 10 , 10 , 10 , 206.5 , 1 , 49.7870056497 , 46.0 , 61.4779411765 , 8.565 , 2.26239634605 , 10.0 , 3.0 , 0.4482 , 0.371839787509 , 0.28313253012 , 0.256277839702 , 176.5 , 0.697331667213 , 0.0637452126804 , 0.00146272931436 , 6.5 , 211.5 , no , 0.0 , 0.1 , 0.01
11 , 1 , fluid , 2 , 44.5 , 2.58986757014 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 2 , 0.07 , 10 , 10 , 10 , 492.0 , 1 , 48.8242753623 , nan , 85.3735276989 , 9.21 , 2.29707219135 , 10.0 , 4.0 , 0.37095 , 0.0968950237705 , 0.368787276342 , 0.32455946667 , 392.5 , 0.96170864444 , 0.0859787180056 , 0.00430592258958 , 3.0 , 204.5 , no , 0.0 , 0.1 , 0.01
13 , 1 , fluid , 2 , 10.5 , 0.63819717097 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 2 , 0.05 , 10 , 10 , 10 , 91.0 , 1 , 24.75 , nan , 26.926369863 , 3.585 , 2.26747904049 , 10.0 , 7.5 , 0.57905 , 0.368157301507 , 0.103603603604 , 0.762536471287 , 31.0 , 0.506619640252 , 0.0850883708401 , 0.00242881991751 , 3.5 , 77.0 , no , 0.2 , 0.1 , 0.01
14 , 1 , fluid , 2 , 4.5 , 0.36296677003 , 50 , 10 , 1000 , 0.0 , 0.0 , 0.998721567325 , 1000 , 2 , 0.04 , 10 , 10 , 10 , 65.0 , 1 , 45.3194444444 , nan , 71.6973557482 , 7.29 , 2.28452778957 , 10.0 , 1.0 , 1.0 , 1.0 , 0.620689655172 , 0.0 , 65.0 , 0.0 , 0.0998907544103 , 0.00290640343449 , 4.0 , 164.0 , no , 0.0 , 0.1 , 0.01
19 , 2 , random_walk , 2 , 0.5 , 0.00828888591757 , 200 , 2 , 800 , 0.0 , 0.0 , 0.996295587158 , 1000 , 80 , 1.0 , 10 , 10 , 10 , 5.0 , 1 , 0.0973564395903 , 6.45625 , 9.1704712813 , 1.32 , 0.691880698596 , 2.0 , 3.0 , 0.9272 , 0.958326933339 , 0.3 , 0.6 , 2.5 , 0.57735026919 , 0.0523426177317 , 0.0194092321394 , 5.5 , 255.0 , no , 0.666666666667 , 0.1 , 0.05
20 , 2 , random_walk , 2 , 0.0 , 0.00879951961926 , 200 , 2 , 800 , 0.0 , 0.0 , 0.996295587158 , 1000 , 80 , 0.9 , 10 , 10 , 10 , 3.5 , 1 , 0.179055268918 , 4.21341463415 , 3.473903177 , 1.045 , 0.689626925553 , 2.0 , 1.5 , 0.86765 , 0.857432791665 , 0.2 , 0.16 , 3.0 , 0.0 , 0.0432125666951 , 0.0311035471621 , 4.5 , 202.0 , no , 1.0 , 0.1 , 0.05
21 , 2 , random_walk , 2 , 1.5 , 0.0236447413506 , 200 , 2 , 800 , 0.0 , 0.0 , 0.996295587158 , 1000 , 80 , 0.8 , 10 , 10 , 10 , 6.5 , 1 , 0.354487402952 , 4.56493506494 , 5.9485619469 , 0.915 , 0.691212808348 , 2.0 , 2.5 , 0.77595 , 0.733666800223 , 0.357142857143 , 0.445011337868 , 4.0 , -0.353553390593 , 0.0796969288831 , 0.0142242234381 , 11.0 , 187.0 , no , 0.6 , 0.1 , 0.05
22 , 2 , random_walk , 2 , 0.0 , 0.0278444957088 , 200 , 2 , 800 , 0.0 , 0.0 , 0.996295587158 , 1000 , 10 , 0.7 , 10 , 10 , 10 , 10.0 , 1 , 0.637042062415 , 5.675 , 5.12367443125 , 0.92 , 0.688927541928 , 2.0 , 5.0 , 0.7491 , 0.839362107947 , 0.285714285714 , 0.708489312885 , 4.0 , 1.1024198461 , 0.0581756291735 , 0.00440981387034 , 2.0 , 178.0 , no , 0.4 , 0.1 , 0.05
23 , 2 , random_walk , 2 , 1.0 , 0.00449925358025 , 200 , 2 , 800 , 0.0 , 0.0 , 0.996295587158 , 1000 , 10 , 0.6 , 10 , 10 , 10 , 3.5 , 1 , 0.685671003955 , 7.7 , 7.65770694577 , 0.935 , 0.6914939305 , 2.0 , 2.0 , 0.85 , 0.868668396707 , 0.25 , 0.409722222222 , 2.5 , 0.0 , 0.0589897398411 , 0.0147553588325 , 8.5 , 198.0 , no , 0.5 , 0.1 , 0.05
24 , 2 , random_walk , 2 , 1.0 , 0.0321604039983 , 200 , 2 , 800 , 0.0 , 0.0 , 0.996295587158 , 1000 , 10 , 0.5 , 10 , 10 , 10 , 6.0 , 1 , 1.25124683243 , nan , 3.23021582734 , 1.01 , 0.691407048431 , 2.0 , 2.5 , 0.8591 , 0.903235371913 , 0.111111111111 , 0.518518518519 , 3.5 , 0.353553390593 , 0.0679437769667 , 0.0174375395317 , 8.0 , 210.0 , no , 0.6 , 0.1 , 0.05
