RowID, sim, motion, dimensions, ind.production, biomass.prod.N, biomass.prod.P, biomass.prod.C, res.inflow, N.types, P.types, C.types, max.res.val, max.growth.rate, max.met.maint, max.active.dispersal, barriers, logseries.a, starting.seed, flow.rate, width, height, viscosity, total.abundance, immigration.rate, resource.tau, particle.tau, individual.tau, resource.concentration, shannons.resource.diversity, resource.richness, species.richness, simpson.e, e.var, berger.parker, inv.simp.D, N.max, skew, tracer.particles, resource.particles, speciation, Whittakers.turnover, Jaccards.dissimilarity, Sorensens.dissimilarity, avg.per.capita.growth, avg.per.capita.maint, avg.per.capita.N.efficiency, avg.per.capita.P.efficiency, avg.per.capita.C.efficiency, avg.per.capita.active.dispersal, amplitude, flux, frequency, phase, disturbance
0, 1, 'fluid', 2, 0.0, 0.0, 0.0, 0.0, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 1.0, 10, 9, 10, 0.0, 0.001, 4.8285838912449801, 5.3149001536098304, nan, 34.866666666666667, 2.235860829326751, 10.0, 0.0, nan, nan, nan, nan, nan, nan, 6.0, 3138.0, 'yes', nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.4, 'yes', 0.02, 9, 0.0001
1, 1, 'fluid', 2, 0.0, 0.0, 0.0, 0.0, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.80000000000000004, 10, 9, 10, 0.0, 0.001, 5.9125989146597577, 7.1312499999999996, nan, 33.666666666666671, 2.2391168385742914, 10.0, 0.0, nan, nan, nan, nan, nan, nan, 5.5, 3030.0, 'yes', nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.4, 'yes', 0.02, 9, 0.0001
2, 1, 'fluid', 2, 0.5, 0.0078419422639597891, 0.0014775791919202641, 0.05423330820820299, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.59999999999999998, 10, 9, 10, 5.0, 0.001, 7.6176568022108402, 7.3113636363636365, 10.490975935828878, 33.43888888888889, 2.2432599618225026, 10.0, 2.0, 0.97060000000000002, 0.97926421210393699, 1.25, 0.484375, 3.0, 0.0, 3.5, 3009.5, 'yes', 0.0, 0.0, 0.0, 0.10796804732922044, 0.00086753748939404844, 0.36057953347480165, 0.4430561013824732, 0.70198824357269851, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
3, 1, 'fluid', 2, 0.0, 0.0021665135335680874, 0.0, 0.0, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.40000000000000002, 10, 9, 10, 0.5, 0.001, 10.778490889867332, 13.021428571428572, 10.444148936170212, 33.455555555555556, 2.2369453791484943, 10.0, 0.5, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 3.5, 3011.0, 'yes', nan, nan, nan, 0.10986524133816385, 0.00086894379871597721, 0.33988041369152472, 0.41064532575674378, 0.54504735120269132, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
4, 1, 'fluid', 2, 0.0, 0.0, 0.0, 0.0, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.20000000000000001, 10, 9, 10, 0.0, 0.001, 19.626369353806119, nan, nan, 29.633333333333333, 2.237389248153868, 10.0, 0.0, nan, nan, nan, nan, nan, nan, 4.5, 2667.0, 'yes', nan, nan, nan, 0.10986524133816385, 0.00086894379871597721, 0.33988041369152472, 0.41064532575674378, 0.54504735120269132, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
5, 1, 'fluid', 2, 1.0, 0.025167085637695985, 0.0084485026492878701, 0.010750517310347346, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.10000000000000001, 10, 9, 10, 10.0, 0.001, 30.255725863284002, nan, 81.378540640394078, 24.755555555555556, 2.2291633758259088, 10.0, 3.0, 0.85555000000000003, 0.83723286002668096, 1.0, 0.57421875, 5.0, 0.27154541788363945, 3.0, 2228.0, 'yes', 0.33333333333333326, 0.5, 0.33333333333333337, 0.10525813556759067, 0.00088174120384133217, 0.45941652584873899, 0.48173289363115163, 0.56155675868965793, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
6, 1, 'fluid', 2, 0.0, 0.0, 0.0, 0.0, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.080000000000000002, 10, 9, 10, 0.0, 0.001, 40.034752589182972, nan, nan, 25.25, 2.2432641267805362, 10.0, 0.0, nan, nan, nan, nan, nan, nan, 1.5, 2272.5, 'yes', nan, nan, nan, 0.10525813556759067, 0.00088174120384133217, 0.45941652584873899, 0.48173289363115163, 0.56155675868965793, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
7, 1, 'fluid', 2, 2.5, 0.16476320769155706, 0.22178808318675181, 0.28090557222907364, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.059999999999999998, 10, 9, 10, 39.0, 0.001, 38.320582027762001, 37.5, 78.101249999999993, 23.144444444444446, 2.2341523833069852, 10.0, 2.0, 0.82515000000000005, 0.84511051733469966, 0.43055555555555558, 0.39392794154698918, 28.5, 0.0, 2.5, 2083.0, 'yes', 0.0, 0.0, 0.0, 0.10349018173194897, 0.00090527459266953418, 0.5243038550866721, 0.48264170671420492, 0.53713020907898001, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
8, 1, 'fluid', 2, 14.5, 0.89470894427903147, 1.071871795142739, 1.236117871369208, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.040000000000000001, 10, 9, 10, 219.5, 0.001, 45.360106082036779, 53.5, 85.06481829279744, 15.338888888888889, 2.2325199947198264, 10.0, 4.0, 0.93245, 0.93192939158759147, 0.13304721030042918, 0.73171620728512754, 70.0, -0.86095030936568495, 6.0, 1380.5, 'yes', 0.0, 0.0, 0.0, 0.10286354490204103, 0.00091064345557860819, 0.55023593825618744, 0.5085072778187173, 0.55560052859241926, 1.0000000000000003e-05, 0.4, 'yes', 0.02, 9, 0.0001
9, 1, 'fluid', 2, 0.0, 0.0044239876155546254, 0.00091502027810996464, 0.00021700945658489901, 1000, 2, 5, 3, 20000, 0.1, 0.0008, 1e-10, 4, 0.9953901911139194, 100, 0.02, 10, 9, 10, 2.0, 0.001, 40.905109489051092, nan, 80.976744186046517, 10.383333333333333, 2.2306919883084726, 10.0, 1.5, 0.94999999999999996, 0.96194905467268654, 1.0, 0.22222222222222221, 1.5, 0.0, 1.0, 934.5, 'yes', 0.33333333333333326, 0.5, 0.33333333333333337, 0.10152507995418177, 0.00091452450931814127, 0.56140924443971185, 0.50256261434658933, 0.51037529064002696, 1.0000000000000001e-05, 0.4, 'yes', 0.02, 9, 0.0001
